time,GFDL-CM3,CANESM2,CCSM4,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,CESM1-CAM5,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5
2079.0,11559053000.0,26580990000.0,46824530000.0,32603871000.0,31632003000.0,28080415000.0,29658577000.0,35620622000.0,55560960000.0,49491304000.0,35594977000.0
2080.0,11357569000.0,26491593000.0,46937616000.0,32106662000.0,31324707000.0,28030685000.0,29746321000.0,35775193000.0,54774460000.0,49347318000.0,34902778000.0
2081.0,11379813000.0,26098940000.0,46800306000.0,31767890000.0,31410805000.0,27747785000.0,29078493000.0,35303367000.0,54739894000.0,48850428000.0,34047373000.0
2082.0,11216751000.0,25864917000.0,46063403000.0,31152273000.0,30650110000.0,27258770000.0,29135049000.0,35373195000.0,54431134000.0,48215642000.0,33791961000.0
2083.0,11002631000.0,25386025000.0,45112490000.0,30696255000.0,30092149000.0,26600712000.0,28731950000.0,35621530000.0,54191150000.0,48068407000.0,33696810000.0
2084.0,10806101000.0,25157167000.0,44126732000.0,30460944000.0,29533780000.0,25991414000.0,28394662000.0,35401670000.0,54518866000.0,48295014000.0,33666722000.0
2085.0,10831059000.0,24923994000.0,44248986000.0,30321746000.0,29076263000.0,25685334000.0,28618301000.0,35297055000.0,55995322000.0,48139160000.0,33080748000.0
2086.0,10780034000.0,24821459000.0,44362535000.0,30423532000.0,28764300000.0,25492417000.0,28243253000.0,34829100000.0,55328690000.0,48182534000.0,33015812000.0
2087.0,10705267000.0,24439288000.0,44269445000.0,30528623000.0,28486160000.0,25224514000.0,27553386000.0,34703335000.0,55325688000.0,48899342000.0,33251983000.0
2088.0,10655448000.0,23816114000.0,43990217000.0,30534982000.0,28322330000.0,25545906000.0,27422030000.0,35073300000.0,55469335000.0,48465060000.0,33183355000.0
2089.0,10569512000.0,23589106000.0,43982570000.0,30162186000.0,28297122000.0,25526858000.0,27112012000.0,34615930000.0,55192175000.0,47957150000.0,32639070000.0
2090.0,10480568000.0,23378196000.0,43734847000.0,29834210000.0,28042420000.0,26115820000.0,26742127000.0,34679923000.0,54646673000.0,47896780000.0,32265378000.0
2091.0,10343568000.0,22999069000.0,43771265000.0,29317736000.0,28210217000.0,26159223000.0,26105514000.0,34559020000.0,54670156000.0,48657105000.0,32216031000.0
2092.0,10245728000.0,22792247000.0,43549557000.0,29190207000.0,27926313000.0,25991740000.0,25477620000.0,34485137000.0,54558770000.0,48923510000.0,32217567000.0
2093.0,10208421000.0,22651595000.0,43437020000.0,29400890000.0,27847907000.0,25493481000.0,25346275000.0,34423600000.0,54899850000.0,48414544000.0,32259422000.0
2094.0,10170837000.0,22607534000.0,43663020000.0,28964518000.0,27452097000.0,25090263000.0,25167462000.0,33982351000.0,55723557000.0,48765125000.0,32144247000.0
2095.0,10138369000.0,22424111000.0,43253326000.0,28522756000.0,27352424000.0,24953033000.0,25238299000.0,33977379000.0,55305564000.0,48949140000.0,32010965000.0
2096.0,10141215000.0,22377466000.0,43239250000.0,28779198000.0,27079102000.0,25032888000.0,24908351000.0,34109475000.0,55298560000.0,48463008000.0,32022723000.0
2097.0,10086676000.0,22123690000.0,43352773000.0,28473410000.0,27065752000.0,24766573000.0,24743913000.0,34166487000.0,55990100000.0,48488755000.0,32240351000.0
2098.0,10095062000.0,21864892000.0,43136238000.0,27933940000.0,27155755000.0,24524548000.0,24522848000.0,34665310000.0,56159166000.0,48356080000.0,32541379000.0
2099.0,9955356000.0,21788470000.0,43180890000.0,27725832000.0,27012207000.0,24650960000.0,24576778000.0,34576413000.0,56686910000.0,47886390000.0,32658874000.0
2100.0,9792080000.0,21698148000.0,42560240000.0,27750822000.0,26498437000.0,24551016000.0,24693488000.0,34909307000.0,56807776000.0,47623560000.0,32881095000.0
