time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2280.0,6937858500000.0,2270187000000.0,5225176000000.0
2281.0,6920084000000.0,2258565300000.0,5215722000000.0
2282.0,6922492000000.0,2250587000000.0,5201789000000.0
2283.0,6930258500000.0,2247718000000.0,5208227000000.0
2284.0,6935116000000.0,2243044800000.0,5207773000000.0
2285.0,6913639600000.0,2241539000000.0,5205984000000.0
2286.0,6897014000000.0,2236424400000.0,5199256600000.0
2287.0,6889028500000.0,2236995300000.0,5191412000000.0
2288.0,6887146000000.0,2218993400000.0,5195477500000.0
2289.0,6874856400000.0,2211565300000.0,5194443000000.0
2290.0,6875562000000.0,2202434500000.0,5223959500000.0
2291.0,6915898700000.0,2190117400000.0,5240795000000.0
2292.0,6903802000000.0,2192808100000.0,5232601300000.0
2293.0,6902050000000.0,2184315300000.0,5214787000000.0
2294.0,6889600000000.0,2176161500000.0,5212453500000.0
2295.0,6889685400000.0,2195334000000.0,5196051000000.0
2296.0,6875967400000.0,2182488700000.0,5201896400000.0
2297.0,6876361000000.0,2174698300000.0,5192980000000.0
2298.0,6853690000000.0,2167351700000.0,5193500500000.0
2299.0,6844564600000.0,2160085600000.0,5183655400000.0
2300.0,6851459500000.0,2147436300000.0,5174821000000.0
