time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2212.0,485191700000.0,259131100.0,486255530000.0
2213.0,478655770000.0,241702060.0,468534400000.0
2214.0,472261200000.0,227386670.0,450034800000.0
2215.0,466406240000.0,218362910.0,431632800000.0
2216.0,460625380000.0,208477980.0,412866870000.0
2217.0,454307380000.0,199580220.0,396653460000.0
2218.0,448666200000.0,193166030.0,381464350000.0
2219.0,442551300000.0,190826060.0,363846600000.0
2220.0,435991600000.0,191903900.0,349628530000.0
2221.0,429588200000.0,190007580.0,333413940000.0
2222.0,422489700000.0,189279680.0,318088800000.0
2223.0,416585450000.0,188437730.0,302761770000.0
2224.0,412957200000.0,187494860.0,289875850000.0
2225.0,408065540000.0,189452540.0,276206680000.0
2226.0,401085170000.0,189734940.0,261783130000.0
2227.0,395277100000.0,190659650.0,245917900000.0
2228.0,390285520000.0,189301620.0,231936380000.0
2229.0,385088980000.0,189692340.0,218087370000.0
2230.0,380036450000.0,189221020.0,204253410000.0
2231.0,374695200000.0,188550500.0,190055810000.0
2232.0,370085430000.0,189650530.0,179243910000.0
2233.0,366058340000.0,189331680.0,168213600000.0
2234.0,361486500000.0,188250740.0,158026200000.0
2235.0,356428450000.0,188468770.0,146437310000.0
2236.0,350513460000.0,188291820.0,135406860000.0
2237.0,344610180000.0,187870740.0,125610580000.0
2238.0,340348100000.0,187870580.0,116723900000.0
2239.0,337276630000.0,186905390.0,108878590000.0
2240.0,332171100000.0,186676510.0,100465525000.0
2241.0,327261600000.0,187027920.0,92365440000.0
2242.0,322998170000.0,186021660.0,84161070000.0
2243.0,318024650000.0,186271200.0,75124830000.0
2244.0,313722100000.0,184881980.0,66858398000.0
2245.0,309081050000.0,185725380.0,59439882000.0
2246.0,305347800000.0,185264820.0,53608270000.0
2247.0,302237500000.0,185250940.0,46937407000.0
2248.0,297611000000.0,185411900.0,40329777000.0
2249.0,293821000000.0,183242500.0,34040732000.0
2250.0,289120400000.0,183712670.0,28615418000.0
2251.0,285051260000.0,183060140.0,24099887000.0
2252.0,280092440000.0,183565980.0,19368569000.0
2253.0,276795850000.0,182489150.0,17280152000.0
2254.0,272745250000.0,182044940.0,15608819000.0
2255.0,268381400000.0,182395460.0,14190475000.0
2256.0,264373190000.0,181681020.0,13055344000.0
2257.0,260545460000.0,181380020.0,12528957000.0
2258.0,257452410000.0,182803260.0,11970382000.0
2259.0,253677960000.0,182106370.0,11111551000.0
2260.0,250584470000.0,180783260.0,10655690000.0
2261.0,247014900000.0,181320030.0,10337283000.0
2262.0,243434750000.0,181886380.0,9704588000.0
2263.0,240079450000.0,181755900.0,9018292000.0
2264.0,236303090000.0,181467730.0,8750541000.0
2265.0,232989620000.0,181135230.0,8314463700.0
2266.0,228987540000.0,181338690.0,7957902000.0
2267.0,225331770000.0,180782670.0,7736157000.0
2268.0,221670770000.0,179881020.0,7314075600.0
2269.0,219453640000.0,180194320.0,7041322000.0
2270.0,217134380000.0,178826500.0,6738568700.0
2271.0,214424750000.0,177719040.0,6320170500.0
2272.0,211906600000.0,175767710.0,6176105500.0
2273.0,209956320000.0,176568690.0,5802203000.0
2274.0,206807200000.0,176184660.0,5650636000.0
2275.0,203646190000.0,176116020.0,5347815400.0
2276.0,199904440000.0,175255550.0,5174937000.0
2277.0,197377180000.0,172510530.0,5019892000.0
2278.0,195495230000.0,171377710.0,4990780000.0
2279.0,192459770000.0,170771890.0,4857799700.0
2280.0,190832930000.0,171892590.0,4762558000.0
2281.0,188624400000.0,171126910.0,4674695000.0
2282.0,185403500000.0,170416960.0,4598278700.0
2283.0,182666350000.0,170301580.0,4564935000.0
2284.0,180417430000.0,170710660.0,4538173400.0
2285.0,176888790000.0,171123200.0,4444011500.0
2286.0,174989230000.0,171355340.0,4434024400.0
2287.0,172839490000.0,170391410.0,4375812000.0
2288.0,169493200000.0,168647890.0,4341159000.0
2289.0,167381680000.0,168527060.0,4353441300.0
2290.0,165308250000.0,168024740.0,4324706300.0
2291.0,162532590000.0,166920130.0,4334855700.0
2292.0,161371780000.0,167304300.0,4358951000.0
2293.0,158439870000.0,167125810.0,4334885400.0
2294.0,156215740000.0,166448240.0,4344436000.0
2295.0,152920780000.0,167272540.0,4303861000.0
2296.0,150641820000.0,167121600.0,4296258600.0
2297.0,147993230000.0,165808880.0,4285227500.0
2298.0,145247780000.0,165936060.0,4254327000.0
2299.0,142990180000.0,165855600.0,4276233200.0
2300.0,140234750000.0,165526000.0,4268520200.0
