time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2
2089.0,901212300000.0,625243850000.0,783112340000.0,848979100000.0,927485260000.0,907911760000.0
2090.0,882623500000.0,599766900000.0,751433350000.0,821372200000.0,905868400000.0,887698400000.0
2091.0,863352650000.0,583161600000.0,713589460000.0,796272000000.0,874935200000.0,857614100000.0
2092.0,844448140000.0,564171200000.0,677085250000.0,776372550000.0,848607600000.0,828811400000.0
2093.0,823879340000.0,546976170000.0,646222050000.0,747722200000.0,821710400000.0,793813060000.0
2094.0,802433860000.0,526109050000.0,617346560000.0,720384000000.0,798277800000.0,776935830000.0
2095.0,782891750000.0,505865930000.0,591245400000.0,696646570000.0,782486700000.0,757535870000.0
2096.0,759316150000.0,484779620000.0,563720360000.0,676960300000.0,757699840000.0,736059000000.0
2097.0,739520400000.0,466476000000.0,537099600000.0,652630300000.0,740571100000.0,718826440000.0
2098.0,715070100000.0,449860670000.0,511217500000.0,628756000000.0,711903100000.0,695129700000.0
2099.0,691129550000.0,432963000000.0,487436200000.0,609799400000.0,690758350000.0,671729650000.0
2100.0,672397660000.0,417750650000.0,466107300000.0,585514100000.0,664181500000.0,647420250000.0
2101.0,655754900000.0,401850630000.0,443345100000.0,565333300000.0,648008600000.0,626351400000.0
2102.0,639975700000.0,388037280000.0,417723500000.0,546092550000.0,625080140000.0,598466700000.0
2103.0,623665200000.0,376289230000.0,392873100000.0,524283020000.0,603833100000.0,578528700000.0
2104.0,607540150000.0,365969800000.0,370008330000.0,504909760000.0,583476640000.0,553860860000.0
2105.0,587564600000.0,355855170000.0,346104400000.0,487110200000.0,565754700000.0,528561860000.0
2106.0,568918340000.0,342542350000.0,327075300000.0,472333780000.0,545051670000.0,507085160000.0
2107.0,548838470000.0,329534280000.0,307303400000.0,452594900000.0,528420080000.0,484163700000.0
2108.0,528986140000.0,322864480000.0,287369720000.0,438259800000.0,511005950000.0,461489830000.0
2109.0,508613600000.0,308139430000.0,266575510000.0,420966900000.0,495589520000.0,440896130000.0
2110.0,491975840000.0,298428600000.0,244233130000.0,404254620000.0,477306850000.0,415892180000.0
2111.0,479191200000.0,286892980000.0,228273520000.0,391979960000.0,465021960000.0,394427000000.0
2112.0,463252130000.0,276713600000.0,213786870000.0,372566950000.0,447769770000.0,370999950000.0
2113.0,450576780000.0,266914610000.0,200099640000.0,357255900000.0,431717880000.0,354512500000.0
2114.0,441008900000.0,264298170000.0,184641290000.0,342644800000.0,410760500000.0,336507200000.0
2115.0,429578320000.0,254613300000.0,174320300000.0,332150240000.0,396640420000.0,320201130000.0
2116.0,416061700000.0,244317700000.0,161640890000.0,316305000000.0,384798920000.0,297580860000.0
2117.0,400840260000.0,236146130000.0,148920980000.0,306149260000.0,369161040000.0,282295300000.0
2118.0,387925000000.0,224855790000.0,137965140000.0,294573670000.0,352425250000.0,268197860000.0
2119.0,370542200000.0,216388300000.0,127517590000.0,281492230000.0,337835100000.0,253777170000.0
2120.0,359504940000.0,210145180000.0,117515090000.0,270081930000.0,324190180000.0,241545630000.0
2121.0,348899080000.0,201269250000.0,110360510000.0,258755950000.0,309793400000.0,228467030000.0
2122.0,340450640000.0,195513290000.0,105388670000.0,248741230000.0,294829460000.0,213039600000.0
2123.0,330428350000.0,193641920000.0,99624575000.0,239702030000.0,283602650000.0,197878960000.0
2124.0,321040400000.0,197024960000.0,94168460000.0,231429050000.0,270952940000.0,184964730000.0
2125.0,311559720000.0,193231630000.0,86786654000.0,222734470000.0,263541720000.0,172375980000.0
2126.0,301663600000.0,189953330000.0,81131170000.0,213953690000.0,251906920000.0,162900030000.0
2127.0,294267420000.0,183815900000.0,75508800000.0,206277100000.0,243315790000.0,154874150000.0
2128.0,285590780000.0,177767240000.0,70977440000.0,199554500000.0,232700460000.0,146956260000.0
2129.0,277242770000.0,173867910000.0,66507465000.0,193008630000.0,222993290000.0,139713280000.0
2130.0,266522350000.0,168485300000.0,62240166000.0,185316850000.0,216567480000.0,131436800000.0
2131.0,256621690000.0,165665650000.0,58810982000.0,177571150000.0,205504660000.0,126828510000.0
2132.0,250248790000.0,167197540000.0,51747770000.0,170051650000.0,195298150000.0,120150790000.0
2133.0,239312900000.0,166643170000.0,46704990000.0,164579480000.0,188356350000.0,116082490000.0
2134.0,237078680000.0,166626440000.0,42471520000.0,157399300000.0,182023500000.0,110360590000.0
2135.0,228596730000.0,163601330000.0,38966640000.0,151918850000.0,176193520000.0,102714474000.0
2136.0,220438280000.0,160529100000.0,35560255000.0,145353670000.0,171631720000.0,97735836000.0
