time,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5,MPI-ESM-LR
2234.0,3403153100000.0,3450128000000.0,2322144700000.0,5798847600000.0
2235.0,3411583400000.0,3425476500000.0,2330452600000.0,5789730700000.0
2236.0,3429875800000.0,3428283000000.0,2308560400000.0,5793125500000.0
2237.0,3416531100000.0,3448241400000.0,2313187800000.0,5819387600000.0
2238.0,3426772600000.0,3435791400000.0,2307189400000.0,5798281300000.0
2239.0,3432773000000.0,3425867700000.0,2286669300000.0,5776087000000.0
2240.0,3427219300000.0,3412030400000.0,2280139300000.0,5771273700000.0
2241.0,3424076000000.0,3408524700000.0,2284422400000.0,5748632300000.0
2242.0,3445909400000.0,3392466800000.0,2288626200000.0,5758730600000.0
2243.0,3450094000000.0,3400770300000.0,2285637000000.0,5749073000000.0
2244.0,3448249500000.0,3408379200000.0,2258558500000.0,5759158000000.0
2245.0,3438929500000.0,3416991200000.0,2255064400000.0,5746846000000.0
2246.0,3427810700000.0,3397681200000.0,2239445600000.0,5746379000000.0
2247.0,3443232000000.0,3383628700000.0,2201933800000.0,5717142500000.0
2248.0,3437993000000.0,3380551400000.0,2203674500000.0,5689780500000.0
2249.0,3427852600000.0,3383468000000.0,2202245300000.0,5704305300000.0
2250.0,3414416700000.0,3387797800000.0,2183403900000.0,5700373000000.0
2251.0,3426100700000.0,3364418500000.0,2167302900000.0,5701819700000.0
2252.0,3403432000000.0,3348905900000.0,2164717800000.0,5726215000000.0
2253.0,3390314400000.0,3336151000000.0,2156656300000.0,5700161000000.0
2254.0,3370781000000.0,3326059700000.0,2144889100000.0,5727781400000.0
2255.0,3358079300000.0,3315367100000.0,2153482700000.0,5670839500000.0
2256.0,3351200000000.0,3323227500000.0,2151633900000.0,5661482000000.0
2257.0,3325381600000.0,3319629600000.0,2130973300000.0,5659466700000.0
2258.0,3289577700000.0,3306651400000.0,2123030900000.0,5676965000000.0
2259.0,3251869800000.0,3318581300000.0,2124136400000.0,5686321000000.0
2260.0,3243999800000.0,3327560000000.0,2123582300000.0,5709067500000.0
2261.0,3223354600000.0,3304903000000.0,2108864300000.0,5704251300000.0
2262.0,3219807300000.0,3278947700000.0,2104600700000.0,5680650000000.0
2263.0,3195535000000.0,3260995000000.0,2102279500000.0,5669568000000.0
2264.0,3184462400000.0,3264041700000.0,2083868400000.0,5641118000000.0
2265.0,3172681000000.0,3281967600000.0,2075337200000.0,5591174000000.0
2266.0,3165246500000.0,3303566700000.0,2087973600000.0,5580167000000.0
2267.0,3153533000000.0,3292479000000.0,2088469000000.0,5572465300000.0
2268.0,3145244000000.0,3280385600000.0,2075415200000.0,5573541600000.0
2269.0,3143142000000.0,3283241400000.0,2083151400000.0,5568962500000.0
2270.0,3134960200000.0,3255671500000.0,2070411700000.0,5571369500000.0
2271.0,3139336700000.0,3256886200000.0,2079504300000.0,5577119000000.0
2272.0,3130243700000.0,3266077000000.0,2086620900000.0,5591199000000.0
2273.0,3123832400000.0,3258921800000.0,2063658600000.0,5614035500000.0
2274.0,3109329300000.0,3263367700000.0,2052490400000.0,5604330400000.0
2275.0,3110346700000.0,3285549600000.0,2036096600000.0,5573584000000.0
2276.0,3075048500000.0,3281044600000.0,2042471000000.0,5532289600000.0
