time,MPI-ESM1-2-HR,ACCESS-CM2,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,NORESM2-MM,CANESM5,GFDL-ESM4,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0
2062.0,24985130000000.0,23489747000000.0,22272583000000.0,24585943000000.0,23952974000000.0,24260337000000.0,23589374000000.0,24151990000000.0,20656435000000.0,21272143000000.0,24716364000000.0,24283695000000.0,24664686000000.0,23601697000000.0,23431070000000.0,22483510000000.0,18728134000000.0,23474022000000.0,25091314000000.0
2063.0,24860942000000.0,23358876000000.0,22032377000000.0,24581784000000.0,23901317000000.0,24230362000000.0,23383622000000.0,24077268000000.0,20500640000000.0,21183982000000.0,24616050000000.0,24185494000000.0,24627126000000.0,23494706000000.0,23420536000000.0,22260331000000.0,18453512000000.0,23270360000000.0,25060381000000.0
2064.0,24802220000000.0,23258127000000.0,21788229000000.0,24530689000000.0,23876608000000.0,24136175000000.0,23286193000000.0,24098892000000.0,20143453000000.0,21039535000000.0,24526390000000.0,24084388000000.0,24589067000000.0,23316052000000.0,23383473000000.0,22087140000000.0,18115604000000.0,23150952000000.0,24970082000000.0
2065.0,24713378000000.0,23085684000000.0,21523530000000.0,24473567000000.0,23775876000000.0,24128183000000.0,23120020000000.0,23959525000000.0,19847155000000.0,20815169000000.0,24396698000000.0,23977730000000.0,24535129000000.0,23178231000000.0,23374596000000.0,21853878000000.0,17772960000000.0,23065285000000.0,24963990000000.0
2066.0,24616440000000.0,23022170000000.0,21342460000000.0,24368873000000.0,23658586000000.0,23993550000000.0,22986717000000.0,23899962000000.0,19640453000000.0,20568888000000.0,24351860000000.0,23921944000000.0,24446220000000.0,23012093000000.0,23291146000000.0,21587997000000.0,17441251000000.0,22898486000000.0,24962954000000.0
2067.0,24528944000000.0,22933787000000.0,21100587000000.0,24277890000000.0,23502365000000.0,23921967000000.0,22868583000000.0,23820306000000.0,19406866000000.0,20320421000000.0,24248561000000.0,23860538000000.0,24336314000000.0,22823521000000.0,23228450000000.0,21363926000000.0,17218104000000.0,22736817000000.0,24914317000000.0
2068.0,24457352000000.0,22792800000000.0,20847624000000.0,24239738000000.0,23394263000000.0,23779569000000.0,22700676000000.0,23719900000000.0,19148380000000.0,20054612000000.0,24216733000000.0,23737800000000.0,24259984000000.0,22672214000000.0,23101102000000.0,21154935000000.0,16920795000000.0,22606015000000.0,24848005000000.0
2069.0,24352970000000.0,22636768000000.0,20516740000000.0,24164002000000.0,23316694000000.0,23698996000000.0,22534215000000.0,23612460000000.0,18790763000000.0,19711110000000.0,24111940000000.0,23671194000000.0,24205595000000.0,22556222000000.0,23022992000000.0,20793310000000.0,16555365000000.0,22406549000000.0,24775534000000.0
2070.0,24284538000000.0,22472217000000.0,20308254000000.0,24134344000000.0,23214353000000.0,23650410000000.0,22439450000000.0,23523555000000.0,18441147000000.0,19537047000000.0,23996560000000.0,23612526000000.0,24177180000000.0,22479458000000.0,22926320000000.0,20524258000000.0,16282010000000.0,22167798000000.0,24784258000000.0
2071.0,24239652000000.0,22404120000000.0,20197415000000.0,24010604000000.0,23044210000000.0,23529626000000.0,22343116000000.0,23411470000000.0,18121380000000.0,19212662000000.0,23903873000000.0,23540265000000.0,24117525000000.0,22249840000000.0,22748764000000.0,20261215000000.0,16022927000000.0,22105156000000.0,24738676000000.0
