time,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,CESM1-CAM5
2224.0,1801666200000.0,544621600000.0,1931440200000.0,131185150000.0
2225.0,1798736300000.0,537480900000.0,1932994700000.0,125843930000.0
2226.0,1800604500000.0,532434000000.0,1933630000000.0,120887886000.0
2227.0,1794643900000.0,525751880000.0,1922540500000.0,116299950000.0
2228.0,1793367600000.0,519745180000.0,1922556600000.0,111100220000.0
2229.0,1786238100000.0,514215120000.0,1925664900000.0,107571170000.0
2230.0,1787747000000.0,510369070000.0,1930518700000.0,103538290000.0
2231.0,1787891000000.0,506155300000.0,1920026500000.0,98931280000.0
2232.0,1781935000000.0,499831500000.0,1912317500000.0,94144690000.0
2233.0,1781040500000.0,495370300000.0,1898572800000.0,89935000000.0
2234.0,1779404200000.0,489467870000.0,1893350200000.0,86093170000.0
2235.0,1775550600000.0,482799980000.0,1884877200000.0,81928800000.0
2236.0,1769936000000.0,475954100000.0,1883844200000.0,76141590000.0
2237.0,1771143300000.0,471548230000.0,1878815100000.0,71650010000.0
2238.0,1766104900000.0,465614440000.0,1879500700000.0,67715210000.0
2239.0,1766394200000.0,461411680000.0,1875516900000.0,63470650000.0
2240.0,1772345900000.0,456337260000.0,1866349000000.0,59433026000.0
2241.0,1772175400000.0,452356080000.0,1868697300000.0,56772297000.0
2242.0,1770670000000.0,449284370000.0,1853313900000.0,53641503000.0
2243.0,1770080400000.0,444964200000.0,1829946100000.0,50617950000.0
2244.0,1766193800000.0,442582140000.0,1807178400000.0,48182190000.0
2245.0,1760138000000.0,439054930000.0,1791765500000.0,45004538000.0
2246.0,1758474900000.0,434717000000.0,1783006900000.0,42450650000.0
2247.0,1755485800000.0,430080160000.0,1770484400000.0,39564583000.0
2248.0,1757792000000.0,426869260000.0,1768196400000.0,36820950000.0
2249.0,1756621400000.0,423721240000.0,1764169900000.0,34507182000.0
2250.0,1757163300000.0,419626940000.0,1754469400000.0,32923680000.0
2251.0,1755388700000.0,416385300000.0,1744867000000.0,30582940000.0
2252.0,1756175700000.0,412155970000.0,1730902000000.0,28459008000.0
2253.0,1756726600000.0,407811900000.0,1721363200000.0,26528952000.0
2254.0,1755335500000.0,405111730000.0,1719989400000.0,24576830000.0
2255.0,1750206600000.0,402724720000.0,1723486200000.0,22925783000.0
2256.0,1751364700000.0,398370200000.0,1706504500000.0,20928573000.0
2257.0,1750171900000.0,394917000000.0,1691250000000.0,19470004000.0
2258.0,1747879900000.0,391725000000.0,1677493700000.0,17904560000.0
2259.0,1746609200000.0,385834420000.0,1661844200000.0,16313347000.0
2260.0,1749601200000.0,381122150000.0,1664071600000.0,14882462000.0
2261.0,1748947800000.0,378662320000.0,1654509900000.0,12977751000.0
2262.0,1743353400000.0,377847780000.0,1646943100000.0,11961088000.0
2263.0,1740705800000.0,375346230000.0,1647406400000.0,11077927000.0
2264.0,1739894400000.0,371402080000.0,1641614500000.0,10009326000.0
2265.0,1742386900000.0,367480960000.0,1627923700000.0,9485126000.0
2266.0,1741224400000.0,364102450000.0,1618195000000.0,8935550000.0
2267.0,1735654800000.0,361893200000.0,1594869200000.0,8255382000.0
2268.0,1732530400000.0,358849450000.0,1579064000000.0,7698590700.0
2269.0,1727785200000.0,353403240000.0,1559880800000.0,7302059500.0
2270.0,1726039600000.0,346796980000.0,1540300900000.0,6794791400.0
2271.0,1726213400000.0,342599730000.0,1522928200000.0,6352172000.0
2272.0,1724000200000.0,340516830000.0,1503098800000.0,6138712000.0
2273.0,1722303600000.0,339055350000.0,1482297200000.0,5926758000.0
2274.0,1721139300000.0,337233100000.0,1473483800000.0,5699534300.0
2275.0,1718748200000.0,336589030000.0,1463720700000.0,5492293000.0
2276.0,1717608000000.0,335514340000.0,1457814200000.0,5317734000.0
2277.0,1716686700000.0,333737330000.0,1453305900000.0,5171134500.0
2278.0,1719407700000.0,331370200000.0,1430471600000.0,4974691300.0
2279.0,1717378600000.0,330027400000.0,1413570200000.0,4917726000.0
2280.0,1714372200000.0,328861100000.0,1398392800000.0,4776397000.0
2281.0,1710419700000.0,326774950000.0,1387431000000.0,4649472000.0
2282.0,1708498700000.0,322992340000.0,1372737000000.0,4606029300.0
2283.0,1710720400000.0,320116300000.0,1360443000000.0,4534099000.0
2284.0,1708482200000.0,316628430000.0,1354887500000.0,4443475500.0
2285.0,1708152600000.0,313475800000.0,1351509500000.0,4334631000.0
2286.0,1703932600000.0,310435680000.0,1349239800000.0,4153940500.0
2287.0,1700722500000.0,307656300000.0,1333391800000.0,4076194300.0
2288.0,1699729800000.0,306342920000.0,1322035600000.0,4010183200.0
2289.0,1698694000000.0,303914940000.0,1310777300000.0,3914191600.0
2290.0,1697211900000.0,301773400000.0,1301021000000.0,3808900000.0
2291.0,1692091800000.0,299484700000.0,1290896400000.0,3735770600.0
2292.0,1691751500000.0,297413050000.0,1278472900000.0,3708606000.0
2293.0,1687921800000.0,294731400000.0,1263186000000.0,3676934100.0
2294.0,1688551400000.0,293234570000.0,1249722400000.0,3576459800.0
2295.0,1680109200000.0,292051000000.0,1234849400000.0,3526160000.0
2296.0,1678820600000.0,289836170000.0,1226687800000.0,3512895500.0
2297.0,1677497100000.0,286938860000.0,1226029400000.0,3461856300.0
2298.0,1677418300000.0,283724320000.0,1216590400000.0,3414756900.0
2299.0,1677360800000.0,280733970000.0,1210731900000.0,3392447200.0
2300.0,1675687500000.0,278627600000.0,1198836200000.0,3386903600.0
