time,ACCESS-CM2,CESM2-WACCM,ACCESS-ESM1-5,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2144.0,1439655900000.0,3588530000000.0,3332966400000.0,2957100200000.0,366633450000.0,2522772000000.0
2145.0,1426787500000.0,3549031800000.0,3313593000000.0,2941790700000.0,363767460000.0,2518194000000.0
2146.0,1411318200000.0,3521448000000.0,3280335800000.0,2927308600000.0,360038830000.0,2528908400000.0
2147.0,1393359200000.0,3496027600000.0,3259077800000.0,2909728000000.0,355696050000.0,2523976700000.0
2148.0,1369263700000.0,3488174000000.0,3233215700000.0,2892198000000.0,349716380000.0,2523809000000.0
2149.0,1346097400000.0,3459297800000.0,3213892800000.0,2873490000000.0,345064140000.0,2522867600000.0
2150.0,1336438600000.0,3437571900000.0,3204573600000.0,2853893300000.0,340036580000.0,2522728600000.0
2151.0,1320495100000.0,3423502300000.0,3203541500000.0,2831550000000.0,334892200000.0,2518926800000.0
2152.0,1304394300000.0,3394640300000.0,3188993000000.0,2808544800000.0,331368960000.0,2516344400000.0
2153.0,1293300000000.0,3387681700000.0,3188036500000.0,2794111600000.0,328413580000.0,2516134000000.0
2154.0,1283153500000.0,3367418200000.0,3174042700000.0,2775278200000.0,327202900000.0,2517523000000.0
2155.0,1273873300000.0,3355681500000.0,3158751300000.0,2758466900000.0,324362730000.0,2518950300000.0
2156.0,1267754000000.0,3325323400000.0,3150847100000.0,2740994700000.0,320004160000.0,2521644700000.0
2157.0,1263762800000.0,3306568800000.0,3144132900000.0,2736264800000.0,316893430000.0,2526992000000.0
2158.0,1245631300000.0,3290642800000.0,3137738400000.0,2728215000000.0,313518030000.0,2526588400000.0
2159.0,1232505000000.0,3267503300000.0,3128190600000.0,2720100000000.0,309536720000.0,2528650700000.0
2160.0,1224596400000.0,3245467800000.0,3121578200000.0,2713023000000.0,305628150000.0,2525360600000.0
2161.0,1214853800000.0,3236783700000.0,3109132200000.0,2706716500000.0,303132200000.0,2531067200000.0
2162.0,1206001900000.0,3221515700000.0,3088717000000.0,2694106800000.0,300944160000.0,2540856100000.0
2163.0,1195823000000.0,3213764600000.0,3075263200000.0,2675882300000.0,299742920000.0,2545065700000.0
2164.0,1191758000000.0,3180798000000.0,3071091100000.0,2672616500000.0,298803070000.0,2548849400000.0
2165.0,1187061800000.0,3168403200000.0,3058106000000.0,2658520500000.0,297037330000.0,2548077000000.0
2166.0,1177848100000.0,3151239600000.0,3044077000000.0,2656551300000.0,294415500000.0,2554173000000.0
2167.0,1172676800000.0,3128410200000.0,3032489700000.0,2637274500000.0,293534700000.0,2560479000000.0
2168.0,1169146000000.0,3118903900000.0,3021484900000.0,2626348000000.0,292268080000.0,2560221500000.0
2169.0,1166869800000.0,3093677500000.0,3003936100000.0,2618099200000.0,291268100000.0,2560724800000.0
2170.0,1162993600000.0,3084394200000.0,2993687600000.0,2609567000000.0,289834800000.0,2563775700000.0
2171.0,1151809200000.0,3069020500000.0,2984936000000.0,2594439700000.0,289698940000.0,2565260400000.0
2172.0,1149634200000.0,3036573900000.0,2965047300000.0,2584934400000.0,289876100000.0,2568060000000.0
2173.0,1152702500000.0,3003225500000.0,2958117800000.0,2580234600000.0,289172980000.0,2571711500000.0
2174.0,1152038300000.0,2984519000000.0,2951121500000.0,2569600200000.0,289374040000.0,2580648600000.0
2175.0,1149723700000.0,2963566000000.0,2938027600000.0,2554769000000.0,288495630000.0,2584443600000.0
2176.0,1144875300000.0,2960030700000.0,2926805500000.0,2537368300000.0,287785060000.0,2590291800000.0
2177.0,1141764800000.0,2940923800000.0,2920706500000.0,2532810700000.0,286599000000.0,2595102000000.0
2178.0,1139132100000.0,2933338400000.0,2902096600000.0,2527486800000.0,286092800000.0,2594739000000.0
2179.0,1136575600000.0,2923721400000.0,2890922700000.0,2515446000000.0,286043100000.0,2602335500000.0
2180.0,1133749100000.0,2916176400000.0,2881977600000.0,2500172700000.0,285199630000.0,2608854000000.0
2181.0,1130657700000.0,2912696000000.0,2866297000000.0,2488043800000.0,284970300000.0,2610500200000.0
2182.0,1129465800000.0,2908569000000.0,2840540500000.0,2469242600000.0,284257100000.0,2610618200000.0
2183.0,1128510400000.0,2897619200000.0,2816185500000.0,2460976000000.0,284723400000.0,2614638400000.0
2184.0,1123437500000.0,2889303000000.0,2805582000000.0,2454616800000.0,284038900000.0,2625830400000.0
2185.0,1117966400000.0,2879004300000.0,2792487000000.0,2446845000000.0,282422940000.0,2639140200000.0
2186.0,1114347800000.0,2869555400000.0,2771565000000.0,2439637400000.0,281217370000.0,2645497200000.0
2187.0,1109017200000.0,2853937600000.0,2745636000000.0,2433348800000.0,282857440000.0,2650678500000.0
2188.0,1104297900000.0,2833854200000.0,2724404700000.0,2422854400000.0,280856920000.0,2654319000000.0
