time,MRI-ESM2-0,CANESM5,CESM2-WACCM,IPSL-CM6A-LR
2203.0,2102633300000.0,134792050000.0,4034182800000.0,2309445600000.0
2204.0,2110504000000.0,134498950000.0,4012941000000.0,2304006700000.0
2205.0,2113334400000.0,134530090000.0,3998933000000.0,2296023400000.0
2206.0,2119070600000.0,134642480000.0,3984338700000.0,2290338200000.0
2207.0,2125258300000.0,134225900000.0,3972703500000.0,2291619600000.0
2208.0,2125483700000.0,134340660000.0,3958332000000.0,2288122300000.0
2209.0,2129357800000.0,134663210000.0,3954878000000.0,2287607700000.0
2210.0,2133258700000.0,134929310000.0,3960880800000.0,2287541400000.0
2211.0,2139100200000.0,134676910000.0,3949771000000.0,2285638800000.0
2212.0,2144461800000.0,134250070000.0,3945716500000.0,2277255700000.0
2213.0,2147667700000.0,134001810000.0,3935349000000.0,2273695500000.0
2214.0,2152512500000.0,133783960000.0,3925772600000.0,2261149000000.0
2215.0,2161246900000.0,133957040000.0,3913805200000.0,2260603000000.0
2216.0,2166242800000.0,133082710000.0,3902597800000.0,2257236000000.0
2217.0,2171934500000.0,133125700000.0,3902903000000.0,2248673000000.0
2218.0,2177928500000.0,132806025000.0,3900069600000.0,2252465000000.0
2219.0,2186684900000.0,131829150000.0,3895260000000.0,2248650000000.0
2220.0,2195315000000.0,131323060000.0,3883352200000.0,2237440000000.0
2221.0,2203230000000.0,131449960000.0,3885403000000.0,2233152000000.0
2222.0,2210106000000.0,131099560000.0,3872485000000.0,2232245600000.0
2223.0,2220020000000.0,131450850000.0,3867085400000.0,2231351600000.0
2224.0,2224132500000.0,131338590000.0,3866405400000.0,2229444300000.0
2225.0,2223755000000.0,131365630000.0,3852257700000.0,2226294600000.0
2226.0,2229715900000.0,131450190000.0,3856763200000.0,2223950500000.0
2227.0,2235629000000.0,130870790000.0,3846464000000.0,2226829400000.0
2228.0,2241984000000.0,130492800000.0,3838311700000.0,2223815000000.0
2229.0,2246237500000.0,129919010000.0,3835786400000.0,2223458000000.0
2230.0,2254391500000.0,129565130000.0,3830914500000.0,2222474400000.0
2231.0,2258833500000.0,129523080000.0,3825948200000.0,2220820000000.0
2232.0,2268790300000.0,129095120000.0,3813360800000.0,2216001800000.0
2233.0,2271585000000.0,128655550000.0,3807156400000.0,2219948600000.0
2234.0,2279404700000.0,128202430000.0,3791800800000.0,2214555000000.0
2235.0,2283672200000.0,127739625000.0,3793600600000.0,2212467000000.0
2236.0,2288490600000.0,126903510000.0,3775518700000.0,2207645400000.0
2237.0,2293264300000.0,126532290000.0,3759768000000.0,2203201600000.0
2238.0,2299426800000.0,126523030000.0,3757685600000.0,2204892700000.0
2239.0,2309441500000.0,126167245000.0,3754975300000.0,2201116200000.0
2240.0,2318057600000.0,126180230000.0,3753484000000.0,2199892800000.0
2241.0,2326105700000.0,126027500000.0,3752570000000.0,2195557200000.0
2242.0,2337277200000.0,125558820000.0,3738353300000.0,2189967400000.0
2243.0,2353676200000.0,125432850000.0,3734635000000.0,2191866300000.0
2244.0,2363678800000.0,124990595000.0,3734710300000.0,2193451900000.0
2245.0,2371093500000.0,124667675000.0,3722034800000.0,2190116800000.0
2246.0,2377663600000.0,124303570000.0,3720845000000.0,2189881600000.0
2247.0,2388961800000.0,124087080000.0,3717579700000.0,2192687100000.0
2248.0,2399300700000.0,124152005000.0,3717310200000.0,2198338300000.0
2249.0,2404469400000.0,123439940000.0,3696878000000.0,2190982900000.0
2250.0,2413985000000.0,123186586000.0,3701147400000.0,2186112300000.0
2251.0,2425543700000.0,122518800000.0,3702620400000.0,2187780700000.0
2252.0,2432768000000.0,122558120000.0,3708688300000.0,2184671300000.0
2253.0,2443196000000.0,122902330000.0,3695320500000.0,2186514100000.0
2254.0,2457937600000.0,121896940000.0,3656445900000.0,2181161800000.0
2255.0,2464085000000.0,121814565000.0,3647457700000.0,2180419800000.0
2256.0,2469329600000.0,121286730000.0,3644076600000.0,2175645000000.0
2257.0,2481467000000.0,120890840000.0,3623152000000.0,2174172500000.0
2258.0,2489997000000.0,120113650000.0,3598591500000.0,2169751000000.0
2259.0,2497950500000.0,119822860000.0,3598528300000.0,2166925800000.0
2260.0,2505398300000.0,119911020000.0,3589816200000.0,2165059500000.0
2261.0,2514880600000.0,119461904000.0,3572765000000.0,2171916600000.0
2262.0,2521493000000.0,119115370000.0,3570353600000.0,2171280400000.0
2263.0,2535390400000.0,118648600000.0,3557159600000.0,2172630600000.0
2264.0,2540743400000.0,118824280000.0,3546985800000.0,2167798100000.0
2265.0,2551859600000.0,118363595000.0,3538076600000.0,2163047500000.0
2266.0,2559205700000.0,118032530000.0,3523657000000.0,2164978400000.0
2267.0,2571568700000.0,117495370000.0,3536114400000.0,2165008000000.0
2268.0,2581028100000.0,117894850000.0,3521770400000.0,2158076200000.0
2269.0,2589902000000.0,117494120000.0,3507939700000.0,2159196500000.0
2270.0,2599109500000.0,117044260000.0,3520955000000.0,2154811200000.0
2271.0,2606522700000.0,116522310000.0,3492769200000.0,2153004900000.0
