time,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2255,23459571761.27693,15565264661.128147,15482990825.760662,64277788507.99015
2256,23374844327.86299,15578245101.70426,15564302813.694897,64504083060.4314
2257,23155154310.062576,15716095055.898054,15368456825.405437,64844690335.675835
2258,23180119199.276608,15821518628.535189,15399478183.57972,64728807838.30897
2259,23304997336.695274,15897667645.829828,15445996268.045235,64768805327.68681
2260,23328456569.634136,15884774504.852873,15715472916.524105,64890969576.05373
2261,23041365569.36177,15881953653.633741,15662723252.90813,65189319896.30939
2262,23057009273.750698,15865697867.731655,15741361916.09543,65417483935.26469
2263,22940817576.854736,16082610725.557333,15706565824.479649,65478869788.79962
2264,22740345020.992126,16212026853.50909,15654532089.756365,65235303784.69186
2265,22552163293.800694,16386504271.831545,15933211605.88686,65169030148.85874
2266,22422552013.659275,16424848057.534264,15955189161.77612,65186262596.2754
2267,22295940896.173492,16461505308.73785,15939202766.096994,65089943107.30005
2268,22160639374.954304,16511998143.377443,15820341432.360527,65318320932.01042
2269,22126639353.504513,16606112409.160843,15850933282.376348,65189879051.03845
2270,21944032860.82954,16512422628.201607,15648475905.907366,65734504624.78259
2271,21869945933.03129,16627021228.71105,15743410974.885744,65834173471.86964
2272,21825031870.262417,16696180361.598888,15793223806.876266,66059189497.0255
2273,21954902628.69366,16836064311.231396,15648807692.91297,66689288543.37717
2274,21920383758.529278,16802845084.52963,15562063186.815483,67227297269.64615
2275,21702288765.626472,16860891017.635792,15456872783.80779,67820495040.90992
2276,21665383200.208645,16809594270.129915,15390425860.880024,67658792513.56685
2277,21470236013.494526,16795602545.501413,15537833020.628487,67302179812.50579
2278,21508959598.401596,17028079389.161968,15849305613.879799,67045286556.191345
2279,21546930738.377895,17097124101.605124,15908156821.257603,66957536504.52294
2280,20978877948.278328,17263137484.504646,16069818339.880613,66722621010.403076
2281,21103425212.006786,17231412597.760418,16106287098.308058,67203733210.89634
2282,21061322504.6263,17046252519.241886,15936320883.16611,67428466523.694115
2283,20744483403.67915,17082550072.634394,15949876879.591612,68251028904.63208
2284,20777525730.709545,16958408948.091951,16067656154.299337,68758627403.7457
2285,20644818369.95301,16904946213.71207,15990199577.854136,68958786103.46118
2286,20718744808.309593,16883555707.503683,15986088655.459957,69491603749.08493
2287,20547102295.182247,16838327830.000935,16045471863.456339,69310741256.6933
2288,20442694410.4288,16841456384.428837,15943466228.857504,69692720194.80496
2289,20713214803.122612,16842350556.749155,16032389046.272346,69743681568.01518
2290,20635090010.52337,16907256113.222284,15973460217.060171,69684557873.21335
2291,20581284351.65673,17126152187.410273,16071431004.89907,69420337013.5869
2292,20558453776.98813,17214146973.903526,16212985582.099516,69328800501.23708
2293,20611110055.060505,17268485203.46897,16374299783.525026,69544630225.8416
2294,20486362908.684814,17342435484.461185,16285380658.272758,70273053026.39839
2295,20242092941.525047,17295169299.263725,16216626336.6835,70234892929.41647
2296,20151362679.606472,17409510067.372066,16097453573.075636,70605654217.44232
2297,20313065611.961365,17416694664.940514,16321064049.50077,70919546213.98442
2298,20115453484.09109,17511809194.24355,16358809083.538069,71424485802.19505
2299,20081270145.34149,17474849303.68241,16411328723.102919,71914642248.41432
2300,20051612153.09677,17452205107.426243,16279657135.990143,71457425703.5161
