time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2046.0,2170165400000.0,2162449200000.0,2506152200000.0,2500102000000.0,2412761600000.0,2515930200000.0,2456477200000.0,1849334400000.0,2381843000000.0,2440940200000.0,2194180100000.0,2004819100000.0,2164179000000.0,2087411000000.0,2638892800000.0,2287892000000.0,2536352500000.0
2047.0,2139570700000.0,2127620500000.0,2482631600000.0,2479507000000.0,2373516800000.0,2496785000000.0,2424367000000.0,1800188000000.0,2349298400000.0,2404696500000.0,2170236400000.0,1965390700000.0,2123960200000.0,2035129900000.0,2618651600000.0,2260161000000.0,2547650700000.0
2048.0,2105651800000.0,2092749300000.0,2464498000000.0,2464190000000.0,2355090400000.0,2460960700000.0,2397976700000.0,1755761700000.0,2333843000000.0,2378328400000.0,2144929600000.0,1927934000000.0,2071293300000.0,2008474600000.0,2609177200000.0,2236038800000.0,2515409600000.0
2049.0,2073919600000.0,2045919800000.0,2458120600000.0,2453523000000.0,2328957600000.0,2420051000000.0,2361676000000.0,1718917500000.0,2308427500000.0,2327056000000.0,2125056200000.0,1894765300000.0,2042333200000.0,1977723500000.0,2604338800000.0,2207805300000.0,2481975200000.0
2050.0,2037314500000.0,2011795600000.0,2431434400000.0,2444671800000.0,2283073400000.0,2386462800000.0,2321822000000.0,1681705000000.0,2276573300000.0,2291591500000.0,2090741700000.0,1869523600000.0,2014002300000.0,1934240500000.0,2624001400000.0,2189684800000.0,2466246000000.0
2051.0,2004993800000.0,1983988600000.0,2419430800000.0,2410674000000.0,2252049200000.0,2352063700000.0,2282238000000.0,1642047100000.0,2245057000000.0,2291487200000.0,2075211100000.0,1847173700000.0,1991935300000.0,1892361800000.0,2589020700000.0,2170046100000.0,2446674000000.0
2052.0,1972190600000.0,1944049800000.0,2385437800000.0,2397840000000.0,2228027400000.0,2311042400000.0,2264457500000.0,1613567600000.0,2211850200000.0,2266755200000.0,2045949200000.0,1822134900000.0,1968661700000.0,1871561500000.0,2562244200000.0,2150906200000.0,2420985300000.0
2053.0,1947074000000.0,1896898100000.0,2373542000000.0,2380375500000.0,2211662800000.0,2276935900000.0,2246055000000.0,1584154400000.0,2182601900000.0,2230356500000.0,1996456600000.0,1793905400000.0,1935923700000.0,1841025400000.0,2552357200000.0,2118196900000.0,2424906200000.0
2054.0,1921811300000.0,1866586000000.0,2342217800000.0,2342534800000.0,2192482600000.0,2250483700000.0,2216129700000.0,1549915100000.0,2144887800000.0,2222688300000.0,1968431300000.0,1758852800000.0,1904691900000.0,1808229900000.0,2556870300000.0,2097245500000.0,2421235000000.0
2055.0,1890427700000.0,1840490600000.0,2315301000000.0,2321422200000.0,2170472600000.0,2228262800000.0,2187626400000.0,1509016600000.0,2127938800000.0,2189145000000.0,1947901200000.0,1730626500000.0,1863609000000.0,1769047500000.0,2553750000000.0,2077902400000.0,2385507000000.0
