time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5
2157.0,353771420.0,1304984600.0,54747490000.0,165752340000.0,4412231.5,112642210000.0
2158.0,306617200.0,1169298700.0,48575304000.0,153304100000.0,0.0,103173670000.0
2159.0,261004460.0,1076673200.0,43097915000.0,141138210000.0,0.0,93528880000.0
2160.0,211758980.0,981259100.0,38127047000.0,130074970000.0,0.0,85197340000.0
2161.0,174300220.0,912837400.0,33493910000.0,119670870000.0,0.0,77643560000.0
2162.0,148599200.0,853695360.0,29203760000.0,110057230000.0,0.0,70176490000.0
2163.0,121435336.0,817815700.0,25297347000.0,99937730000.0,0.0,62731362000.0
2164.0,96443990.0,778123700.0,21984207000.0,90092370000.0,0.0,56133853000.0
2165.0,73843864.0,729277500.0,18705633000.0,80247090000.0,0.0,49697296000.0
2166.0,50843500.0,675624600.0,15687410000.0,70658770000.0,0.0,42766580000.0
2167.0,32170796.0,637424800.0,12916755000.0,62571495000.0,0.0,36970380000.0
2168.0,20673494.0,593234500.0,10299296000.0,54034444000.0,0.0,31287523000.0
2169.0,10593735.0,548066600.0,8677351000.0,47252423000.0,0.0,26497630000.0
2170.0,2958592.5,510577660.0,7192136700.0,41275015000.0,0.0,21612814000.0
2171.0,0.0,465644640.0,5927333400.0,35071050000.0,0.0,17355864000.0
2172.0,0.0,421425820.0,4892105700.0,29779653000.0,0.0,14020825000.0
2173.0,0.0,377594080.0,3971165700.0,25494810000.0,0.0,11143174000.0
2174.0,0.0,338536130.0,3199085600.0,21159310000.0,0.0,8737381000.0
2175.0,0.0,296214430.0,2586941700.0,17830427000.0,0.0,6719569000.0
2176.0,0.0,260801400.0,2026149400.0,14889328000.0,0.0,4937826000.0
2177.0,0.0,217839120.0,1596388000.0,11410578000.0,0.0,3815603200.0
2178.0,0.0,182517140.0,1255435800.0,8575288300.0,0.0,3041891600.0
2179.0,0.0,149197890.0,959251260.0,6705515500.0,0.0,2449658400.0
2180.0,0.0,116324424.0,706442240.0,5457282000.0,0.0,1900361900.0
2181.0,0.0,89383090.0,529025570.0,4378415000.0,0.0,1546586100.0
2182.0,0.0,67491480.0,382671500.0,3451392500.0,0.0,1278316900.0
2183.0,0.0,40833076.0,288952350.0,2760390000.0,0.0,1027175900.0
2184.0,0.0,23015154.0,216672210.0,2139739400.0,0.0,822978750.0
2185.0,0.0,11527127.0,177143000.0,1665108400.0,0.0,580948500.0
2186.0,0.0,4024448.5,148520590.0,1253943800.0,0.0,411887740.0
2187.0,0.0,459638.12,121093600.0,926174100.0,0.0,276238500.0
2188.0,0.0,0.0,97373384.0,726782200.0,0.0,177315020.0
2189.0,0.0,0.0,78966456.0,571229700.0,0.0,83333016.0
2190.0,0.0,0.0,63438892.0,478416320.0,0.0,31621092.0
2191.0,0.0,0.0,48560744.0,408049400.0,0.0,18791412.0
2192.0,0.0,0.0,42588100.0,354423520.0,0.0,16002049.0
