time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,CCSM4,CNRM-CM5,GISS-E2-R,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR
2076.0,4855251300000.0,4751165000000.0,4034455400000.0,4219086800000.0,5055221600000.0,2568579000000.0,5480776700000.0,4541878600000.0,4929907000000.0,1969880800000.0
2077.0,4786522400000.0,4697145500000.0,3906447300000.0,4133189600000.0,4965258000000.0,2421782000000.0,5437203700000.0,4469458700000.0,4837407700000.0,1874290700000.0
2078.0,4708395000000.0,4624044000000.0,3800479800000.0,4064804000000.0,4877519400000.0,2271710500000.0,5377404400000.0,4379799500000.0,4749958000000.0,1791179800000.0
2079.0,4625595400000.0,4566743000000.0,3676203600000.0,3974808500000.0,4741644000000.0,2095196300000.0,5320900000000.0,4306023500000.0,4641190300000.0,1722829600000.0
2080.0,4575754000000.0,4512718000000.0,3582431600000.0,3891267000000.0,4585685500000.0,1929628700000.0,5252081000000.0,4209423000000.0,4537225600000.0,1639741700000.0
2081.0,4522053700000.0,4443080000000.0,3510371000000.0,3812103300000.0,4465918000000.0,1765907100000.0,5196963400000.0,4143928600000.0,4427979700000.0,1556122600000.0
2082.0,4444137000000.0,4388286000000.0,3399501000000.0,3713317700000.0,4341079700000.0,1632538300000.0,5149338000000.0,4073064000000.0,4348595400000.0,1478531400000.0
2083.0,4371354700000.0,4328323500000.0,3265801700000.0,3625766000000.0,4219525700000.0,1508145800000.0,5090792000000.0,4018644200000.0,4249998900000.0,1415464900000.0
2084.0,4268192700000.0,4259867800000.0,3135696000000.0,3535153400000.0,4114450200000.0,1396473300000.0,5040582000000.0,3916329000000.0,4132745800000.0,1343355200000.0
2085.0,4198968900000.0,4189664300000.0,3034055700000.0,3451087700000.0,4016620000000.0,1299583600000.0,4957359000000.0,3847504300000.0,4043719000000.0,1250094500000.0
2086.0,4134068000000.0,4123230500000.0,2937961300000.0,3371246300000.0,3936323400000.0,1204588800000.0,4894134600000.0,3763148200000.0,3921036200000.0,1161403700000.0
2087.0,4019928200000.0,4065322000000.0,2835406400000.0,3292322900000.0,3788215000000.0,1106160800000.0,4842794000000.0,3687619500000.0,3816157600000.0,1081717200000.0
2088.0,3903405400000.0,4009392300000.0,2764480000000.0,3212177000000.0,3642358800000.0,1012041500000.0,4810478000000.0,3615501000000.0,3729742600000.0,1032901750000.0
2089.0,3829953700000.0,3953502000000.0,2659754400000.0,3130680000000.0,3514071500000.0,936419850000.0,4753942600000.0,3532137200000.0,3647722700000.0,995089800000.0
2090.0,3697445700000.0,3887753900000.0,2575437100000.0,3038224300000.0,3396802400000.0,865498900000.0,4702131500000.0,3449435000000.0,3535476000000.0,952905500000.0
2091.0,3531152300000.0,3835002600000.0,2470506700000.0,2938578100000.0,3281420800000.0,802619060000.0,4665294500000.0,3373544500000.0,3437555600000.0,907549800000.0
2092.0,3441055800000.0,3774898500000.0,2364000700000.0,2847840700000.0,3162648600000.0,728956500000.0,4620409600000.0,3301982600000.0,3304335600000.0,855546700000.0
2093.0,3335141200000.0,3711034200000.0,2258865000000.0,2763116200000.0,3021801500000.0,667068470000.0,4576142000000.0,3232508400000.0,3189041000000.0,810092860000.0
2094.0,3254743000000.0,3646437700000.0,2176836600000.0,2671595700000.0,2910228800000.0,617596100000.0,4532705700000.0,3159403000000.0,3093789700000.0,766466700000.0
2095.0,3168408700000.0,3586696000000.0,2081479100000.0,2585273800000.0,2828029100000.0,569765600000.0,4499029600000.0,3096418700000.0,2993878200000.0,719178240000.0
2096.0,3088273000000.0,3527303500000.0,2002215800000.0,2501253500000.0,2720221600000.0,524560040000.0,4456545000000.0,3021129600000.0,2896896200000.0,670370200000.0
2097.0,2991077700000.0,3475883000000.0,1927826800000.0,2423752800000.0,2607875600000.0,472971970000.0,4407070000000.0,2935239000000.0,2813434300000.0,627928600000.0
2098.0,2860948000000.0,3417463800000.0,1847407100000.0,2341051300000.0,2517347900000.0,427709400000.0,4368214500000.0,2852003800000.0,2737164300000.0,588044240000.0
2099.0,2726101800000.0,3353380400000.0,1736249400000.0,2259567000000.0,2401520000000.0,382790900000.0,4323366700000.0,2780110300000.0,2647314700000.0,553676000000.0
2100.0,2624212700000.0,3300412400000.0,1636333000000.0,2173688100000.0,2293565000000.0,345508940000.0,4273314500000.0,2710095300000.0,2552421700000.0,524871040000.0
