time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2067.0,5394360400000.0,5685175600000.0,6228820400000.0,4973597000000.0,6018534700000.0,5086242000000.0,6474536300000.0,4607015000000.0,3950145000000.0,4040532700000.0,5783301000000.0
2068.0,5316458600000.0,5637873300000.0,6214860000000.0,4908722000000.0,5961060700000.0,5037968300000.0,6454063400000.0,4548302700000.0,3829276600000.0,3970743700000.0,5716906600000.0
2069.0,5257358000000.0,5604934000000.0,6177371000000.0,4847449000000.0,5921099500000.0,4988610300000.0,6435421000000.0,4482721000000.0,3746936000000.0,3862912300000.0,5684395000000.0
2070.0,5216453000000.0,5566154000000.0,6150392600000.0,4771349000000.0,5877418400000.0,4932309000000.0,6397697000000.0,4415270000000.0,3650799000000.0,3761144300000.0,5647171000000.0
2071.0,5188890000000.0,5534655700000.0,6134464000000.0,4682911000000.0,5836780000000.0,4887675000000.0,6386747400000.0,4325733600000.0,3534652000000.0,3678461800000.0,5604194600000.0
2072.0,5137119600000.0,5497594000000.0,6116320000000.0,4597051000000.0,5808029400000.0,4823445400000.0,6361830000000.0,4247847200000.0,3419725400000.0,3595484800000.0,5577379400000.0
2073.0,5044438600000.0,5481572000000.0,6100728400000.0,4525202600000.0,5752922600000.0,4782350700000.0,6348485400000.0,4150498700000.0,3333151000000.0,3509619300000.0,5547614500000.0
2074.0,4998845400000.0,5457843000000.0,6067405000000.0,4460296000000.0,5701353000000.0,4728916300000.0,6329284000000.0,4045036300000.0,3222877500000.0,3413826300000.0,5513213000000.0
2075.0,4933257000000.0,5428444000000.0,6042981000000.0,4384994600000.0,5673421000000.0,4668175000000.0,6305050000000.0,3935299700000.0,3098689400000.0,3338065000000.0,5481484500000.0
2076.0,4855654000000.0,5401906000000.0,6008532400000.0,4326424800000.0,5623025000000.0,4619988600000.0,6272919300000.0,3818633800000.0,2981345400000.0,3254983900000.0,5440413400000.0
2077.0,4800355000000.0,5364864000000.0,5973671000000.0,4260958300000.0,5588790000000.0,4554797600000.0,6249211000000.0,3733105000000.0,2886393700000.0,3173763800000.0,5382589000000.0
2078.0,4729192000000.0,5318719300000.0,5942699000000.0,4205562800000.0,5559212000000.0,4499281300000.0,6223315300000.0,3632933600000.0,2790065000000.0,3078851400000.0,5351918300000.0
2079.0,4649419500000.0,5279619000000.0,5909979300000.0,4140940400000.0,5503925000000.0,4436005000000.0,6204741400000.0,3558008400000.0,2689773300000.0,2953734300000.0,5328772500000.0
2080.0,4580069300000.0,5242157500000.0,5838557700000.0,4104938600000.0,5431809300000.0,4376696700000.0,6184249600000.0,3476201100000.0,2597101800000.0,2869888000000.0,5307889600000.0
2081.0,4524516300000.0,5198889000000.0,5798950000000.0,4053693400000.0,5350545700000.0,4309175200000.0,6162114000000.0,3376929300000.0,2512612800000.0,2804673000000.0,5287022000000.0
2082.0,4478075000000.0,5151611400000.0,5773014300000.0,4008711600000.0,5299294400000.0,4253791800000.0,6132869000000.0,3293231000000.0,2431224600000.0,2741478000000.0,5251302000000.0
2083.0,4416355000000.0,5115538000000.0,5749046500000.0,3965737200000.0,5231580500000.0,4204227700000.0,6110378500000.0,3204134000000.0,2321039000000.0,2654987000000.0,5235017000000.0
2084.0,4364335300000.0,5063403600000.0,5723111600000.0,3905922000000.0,5196978000000.0,4144403000000.0,6084624000000.0,3116520700000.0,2207560200000.0,2611430800000.0,5221494000000.0
2085.0,4298902000000.0,5036566000000.0,5685002600000.0,3833834200000.0,5132406000000.0,4081365300000.0,6068892000000.0,3049338400000.0,2112414400000.0,2570362300000.0,5196726000000.0
2086.0,4243065000000.0,4992621600000.0,5659398000000.0,3769865000000.0,5092067500000.0,4040571700000.0,6047959000000.0,2980001300000.0,2014436400000.0,2530863200000.0,5173333700000.0
