time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0
2069.0,1462963700000.0,1348239600000.0,1819287700000.0,1750904900000.0,1570358300000.0,1719489100000.0,1908233600000.0,1693949600000.0,1748131100000.0,1030499500000.0,1778324600000.0,1946681500000.0,1658721300000.0
2070.0,1432240800000.0,1311886800000.0,1790984500000.0,1738044700000.0,1542056200000.0,1677863600000.0,1882122900000.0,1672965400000.0,1720872000000.0,1002429600000.0,1747622400000.0,1930031800000.0,1641875000000.0
2071.0,1404245100000.0,1267485200000.0,1760717700000.0,1711976600000.0,1504058700000.0,1647578000000.0,1859120400000.0,1652105500000.0,1698557100000.0,974523700000.0,1723325200000.0,1900268200000.0,1620474600000.0
2072.0,1382853800000.0,1222607200000.0,1740406000000.0,1689701600000.0,1481315000000.0,1607216500000.0,1829133400000.0,1628190500000.0,1670053900000.0,944451300000.0,1700578600000.0,1874565900000.0,1599607900000.0
2073.0,1360574800000.0,1180190100000.0,1719683400000.0,1659987300000.0,1453139800000.0,1570383000000.0,1821206200000.0,1596033100000.0,1642616300000.0,910461300000.0,1687991000000.0,1861273400000.0,1578172000000.0
2074.0,1332523600000.0,1140153600000.0,1700805100000.0,1631722100000.0,1429058400000.0,1534918300000.0,1805476400000.0,1567804500000.0,1615498600000.0,888105600000.0,1659641400000.0,1836760200000.0,1557531700000.0
2075.0,1310137900000.0,1108846000000.0,1685563800000.0,1613971300000.0,1410812200000.0,1504457500000.0,1798693000000.0,1547700100000.0,1588951400000.0,870995200000.0,1627247900000.0,1808703600000.0,1539124100000.0
2076.0,1288833700000.0,1071823700000.0,1654766600000.0,1590556000000.0,1374790600000.0,1465874100000.0,1774457000000.0,1528175800000.0,1563815700000.0,845735800000.0,1607547700000.0,1798086900000.0,1501999100000.0
2077.0,1266837400000.0,1039549330000.0,1632284800000.0,1538122800000.0,1346332800000.0,1430874600000.0,1752520700000.0,1500857200000.0,1532396000000.0,819497140000.0,1575803700000.0,1774205300000.0,1477966400000.0
2078.0,1242891300000.0,1007871460000.0,1600109300000.0,1516277100000.0,1324783600000.0,1380839700000.0,1735389200000.0,1484427400000.0,1502010800000.0,789853600000.0,1542962300000.0,1758043800000.0,1459726200000.0
2079.0,1221973100000.0,980745900000.0,1564772300000.0,1496880500000.0,1304023500000.0,1338495000000.0,1714266400000.0,1460481600000.0,1475080900000.0,769081700000.0,1508339100000.0,1739018600000.0,1450232000000.0
2080.0,1199327300000.0,950121100000.0,1539043600000.0,1468121500000.0,1287340800000.0,1310167800000.0,1695715000000.0,1427294000000.0,1440143200000.0,739938860000.0,1493988500000.0,1712128500000.0,1432071000000.0
2081.0,1182761000000.0,919322400000.0,1511324000000.0,1446193500000.0,1263911700000.0,1272333300000.0,1664978400000.0,1408220000000.0,1408579900000.0,707248200000.0,1486120800000.0,1689378500000.0,1411529000000.0
2082.0,1161100900000.0,886025950000.0,1486707500000.0,1431889600000.0,1249066600000.0,1230399500000.0,1640218900000.0,1390926100000.0,1381600900000.0,679432900000.0,1459179100000.0,1673510500000.0,1397131600000.0
2083.0,1143328700000.0,848857000000.0,1474091400000.0,1414504300000.0,1226377000000.0,1177551100000.0,1622251400000.0,1361429800000.0,1351491900000.0,662329950000.0,1440986000000.0,1650807900000.0,1380132800000.0
2084.0,1112639900000.0,823030100000.0,1451637100000.0,1379676300000.0,1208735600000.0,1139532500000.0,1605781400000.0,1339838800000.0,1322721500000.0,641767240000.0,1427324800000.0,1636253700000.0,1347834700000.0
2085.0,1092509100000.0,791375840000.0,1423927000000.0,1358537200000.0,1188804600000.0,1102175100000.0,1582364900000.0,1317317200000.0,1294671800000.0,611988730000.0,1393952400000.0,1614631100000.0,1330023500000.0
2086.0,1071012250000.0,764072950000.0,1400424400000.0,1336653600000.0,1166247000000.0,1065052500000.0,1564933400000.0,1303814900000.0,1274473500000.0,584031100000.0,1365594300000.0,1600235400000.0,1313668000000.0
2087.0,1049486000000.0,736599600000.0,1381632200000.0,1314800500000.0,1140774000000.0,1021250600000.0,1548531700000.0,1283759400000.0,1250663200000.0,559981000000.0,1336934900000.0,1583139100000.0,1292087500000.0
2088.0,1028870960000.0,710317200000.0,1351126700000.0,1286589500000.0,1122619600000.0,992595600000.0,1514645400000.0,1265158300000.0,1228946000000.0,541888840000.0,1317160000000.0,1563192300000.0,1279005600000.0
2089.0,1005339340000.0,685012500000.0,1330269900000.0,1268322100000.0,1102597500000.0,961517700000.0,1497560100000.0,1244465700000.0,1200464600000.0,522824100000.0,1300264800000.0,1552526200000.0,1259854100000.0
