time,GFDL-ESM4,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,CESM2
2070.0,1917466200000.0,1926744400000.0,1303046500000.0,1804863000000.0,1944715500000.0,1543592300000.0,1802569000000.0,2028059400000.0,1640250100000.0,1773068500000.0,2000642000000.0,1802337600000.0,1379651400000.0,1912951400000.0
2071.0,1893165400000.0,1897965600000.0,1276329200000.0,1774280400000.0,1935999100000.0,1514888600000.0,1785780900000.0,2011656000000.0,1615849300000.0,1763018900000.0,1986469600000.0,1783647700000.0,1361975800000.0,1885010900000.0
2072.0,1871162200000.0,1892582300000.0,1254219700000.0,1752564100000.0,1903212800000.0,1493809500000.0,1782877300000.0,1999006700000.0,1589470600000.0,1742965000000.0,1972377700000.0,1767234900000.0,1340698400000.0,1866709500000.0
2073.0,1848040400000.0,1877980600000.0,1223725200000.0,1723182500000.0,1866006400000.0,1471014500000.0,1750469800000.0,1969179900000.0,1562511000000.0,1740540200000.0,1964707500000.0,1738816400000.0,1313071400000.0,1851247400000.0
2074.0,1827229800000.0,1867364300000.0,1192049200000.0,1693846000000.0,1828643800000.0,1455631900000.0,1731554400000.0,1937716500000.0,1533029300000.0,1722079100000.0,1953330200000.0,1714155700000.0,1286154900000.0,1831333800000.0
2075.0,1801598300000.0,1838776600000.0,1167073100000.0,1676620700000.0,1808223300000.0,1437889200000.0,1715995800000.0,1925652400000.0,1500823400000.0,1699317500000.0,1945880900000.0,1683984400000.0,1281017900000.0,1796696800000.0
2076.0,1780681700000.0,1815206000000.0,1146469500000.0,1666339600000.0,1780776000000.0,1425653200000.0,1699626100000.0,1905383800000.0,1452721300000.0,1683862200000.0,1926081700000.0,1668268300000.0,1253461500000.0,1768438100000.0
2077.0,1761097500000.0,1784695100000.0,1125671100000.0,1650962200000.0,1748829000000.0,1413460100000.0,1686110300000.0,1880728500000.0,1404688700000.0,1666996200000.0,1905570900000.0,1652722400000.0,1222748900000.0,1749517200000.0
2078.0,1740084600000.0,1745506500000.0,1101388000000.0,1637613300000.0,1717170300000.0,1389182200000.0,1666572200000.0,1857737300000.0,1384948400000.0,1647872200000.0,1882660700000.0,1636039000000.0,1195653200000.0,1733834600000.0
2079.0,1716597300000.0,1721389500000.0,1079475600000.0,1619772400000.0,1681789800000.0,1370696000000.0,1648598500000.0,1842791700000.0,1356826300000.0,1623193800000.0,1874125400000.0,1612854900000.0,1169683500000.0,1705175200000.0
2080.0,1703423000000.0,1695586300000.0,1057022600000.0,1603044400000.0,1654747600000.0,1359710100000.0,1632258400000.0,1834673400000.0,1334478000000.0,1605020000000.0,1864167700000.0,1606459200000.0,1146876300000.0,1677676600000.0
2081.0,1683473600000.0,1668257400000.0,1030650800000.0,1568363600000.0,1636546000000.0,1342094700000.0,1617055200000.0,1811756400000.0,1304096800000.0,1584551700000.0,1843605300000.0,1594602000000.0,1125652100000.0,1656757200000.0
2082.0,1659230700000.0,1650852100000.0,1014258000000.0,1551939700000.0,1609450700000.0,1331185600000.0,1603230600000.0,1794672200000.0,1263262100000.0,1568961500000.0,1842589200000.0,1575567400000.0,1111169200000.0,1642739700000.0
2083.0,1632835100000.0,1634082100000.0,997630740000.0,1522589800000.0,1589481700000.0,1315064100000.0,1589639200000.0,1781362700000.0,1233732000000.0,1547514700000.0,1839877000000.0,1558764200000.0,1085500600000.0,1628016200000.0
2084.0,1607729800000.0,1605682700000.0,975023500000.0,1499712700000.0,1558622600000.0,1302951400000.0,1588984500000.0,1780850600000.0,1208418700000.0,1536404000000.0,1818751500000.0,1538284800000.0,1059219800000.0,1606787400000.0
