time,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CANESM5,CESM2,GFDL-ESM4,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,MPI-ESM1-2-HR,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,MRI-ESM2-0
2088.0,110877750000.0,71428530000.0,66801240000.0,122516414000.0,41930290000.0,26131724000.0,122149030000.0,103669940000.0,95432950000.0,115588330000.0,76915600000.0,52874945000.0,98291745000.0,61659380000.0,104971310000.0,85886796000.0,112575530000.0
2089.0,110460535000.0,69508040000.0,65149300000.0,120736770000.0,41066205000.0,25223582000.0,122827555000.0,103996300000.0,95428346000.0,113603700000.0,75493040000.0,51408413000.0,98206520000.0,60366774000.0,104784770000.0,84751340000.0,111697790000.0
2090.0,108017860000.0,68585680000.0,63520166000.0,119818125000.0,39918625000.0,24271954000.0,121091570000.0,102791290000.0,94527420000.0,111079770000.0,74880270000.0,50427347000.0,96360700000.0,58746892000.0,103000924000.0,82545320000.0,109974390000.0
2091.0,105880370000.0,67601957000.0,62816290000.0,117041070000.0,38715470000.0,22566058000.0,119495840000.0,100784970000.0,92665400000.0,109043450000.0,74428100000.0,49139147000.0,95553405000.0,56776258000.0,102373460000.0,80602540000.0,109436810000.0
2092.0,102728370000.0,67026153000.0,62900630000.0,115204310000.0,36550013000.0,21482900000.0,117576310000.0,99620050000.0,90800940000.0,107721376000.0,72705630000.0,47624536000.0,93888130000.0,54885528000.0,100646535000.0,79027340000.0,109252340000.0
2093.0,100399820000.0,66324316000.0,61593310000.0,114227110000.0,34265561000.0,20940818000.0,116657100000.0,99442620000.0,89761350000.0,105707995000.0,71916950000.0,46915916000.0,92037670000.0,53123870000.0,99682796000.0,79062940000.0,108665550000.0
2094.0,99199370000.0,65623820000.0,60019343000.0,112697210000.0,32503030000.0,19965650000.0,114856280000.0,98748735000.0,89464670000.0,105776955000.0,70374334000.0,45675393000.0,91578960000.0,51423924000.0,98601165000.0,77560720000.0,106833945000.0
2095.0,98723330000.0,64382730000.0,57602580000.0,111600450000.0,30736654000.0,19337966000.0,116056560000.0,96538920000.0,89978770000.0,104315870000.0,68627096000.0,44746360000.0,90242830000.0,50560963000.0,96540490000.0,76197610000.0,105363000000.0
2096.0,98654040000.0,63450150000.0,56425312000.0,110865605000.0,28898044000.0,18392918000.0,115923304000.0,95734235000.0,88540010000.0,103476580000.0,67452730000.0,43942818000.0,88199070000.0,49317896000.0,97528790000.0,75634730000.0,105062500000.0
2097.0,96865300000.0,62917780000.0,55244900000.0,109183950000.0,27135738000.0,17339429000.0,114023640000.0,95148180000.0,87180120000.0,100363620000.0,67105440000.0,42672740000.0,86445440000.0,48829047000.0,97692650000.0,74176995000.0,105989820000.0
2098.0,96624210000.0,62841320000.0,53157000000.0,106385320000.0,25877721000.0,16753151000.0,113468465000.0,94097010000.0,85722980000.0,100152230000.0,65926520000.0,41587390000.0,85228470000.0,47821066000.0,96319590000.0,73973550000.0,105911980000.0
2099.0,94777960000.0,62059393000.0,51918864000.0,105192970000.0,24763054000.0,16082564000.0,113413600000.0,94275985000.0,84678510000.0,97830360000.0,65828170000.0,40420190000.0,84014326000.0,46506910000.0,95656860000.0,73413290000.0,106095070000.0
2100.0,93154490000.0,61589262000.0,50126483000.0,103974260000.0,23738542000.0,15067474000.0,113186415000.0,92424940000.0,83893930000.0,96238020000.0,64398266000.0,38639264000.0,82404140000.0,45027213000.0,94218790000.0,73197945000.0,105713360000.0
