time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2043.0,2805651000000.0,3046014500000.0,2866984500000.0,2947048800000.0,3098074200000.0,2851431500000.0,3029802400000.0,3119030500000.0,3160755700000.0,2883261800000.0,3292331500000.0,3266131300000.0,3107140100000.0,3070834500000.0
2044.0,2774450000000.0,3024110000000.0,2839411200000.0,2938057800000.0,3071964000000.0,2828168600000.0,3009736600000.0,3085159400000.0,3130207800000.0,2859747800000.0,3286375000000.0,3256561400000.0,3092389800000.0,3058722700000.0
2045.0,2744005400000.0,3002059000000.0,2820675000000.0,2923283300000.0,3054454400000.0,2804563000000.0,2983413700000.0,3056997500000.0,3106702000000.0,2833216400000.0,3277753000000.0,3255020300000.0,3082225500000.0,3043912600000.0
2046.0,2722122400000.0,2982780000000.0,2797063600000.0,2912603600000.0,3031009300000.0,2787490700000.0,2968338600000.0,3038540000000.0,3076118300000.0,2802075300000.0,3264814800000.0,3250658000000.0,3069683700000.0,3029104300000.0
2047.0,2689492600000.0,2959945800000.0,2782404000000.0,2895871500000.0,3009462100000.0,2766562100000.0,2943914300000.0,3015275200000.0,3056172300000.0,2772463000000.0,3266555000000.0,3227376700000.0,3052423000000.0,3007874000000.0
2048.0,2657394400000.0,2937693000000.0,2776999400000.0,2868908000000.0,2994066400000.0,2747083300000.0,2925945000000.0,2984646800000.0,3029845700000.0,2738602000000.0,3259399400000.0,3212574000000.0,3037108000000.0,2984911300000.0
2049.0,2626549000000.0,2918533000000.0,2771230000000.0,2844894200000.0,2979374600000.0,2737359000000.0,2904885000000.0,2948180500000.0,2998550400000.0,2710784000000.0,3256720800000.0,3199686700000.0,3020226000000.0,2966766500000.0
2050.0,2594834700000.0,2890615500000.0,2763173000000.0,2827050500000.0,2961282000000.0,2716232000000.0,2880693900000.0,2914699000000.0,2974797300000.0,2667541400000.0,3261121000000.0,3182819500000.0,3007428000000.0,2959296000000.0
2051.0,2563528700000.0,2872186000000.0,2753483800000.0,2820080000000.0,2950008100000.0,2700618000000.0,2857040300000.0,2879417500000.0,2951847600000.0,2645590800000.0,3256174000000.0,3167062900000.0,2995897000000.0,2930785400000.0
2052.0,2532137800000.0,2841567000000.0,2740918000000.0,2809421600000.0,2923118000000.0,2686028300000.0,2833032200000.0,2847495400000.0,2926644800000.0,2612358300000.0,3255020800000.0,3155866200000.0,2981468000000.0,2922646000000.0
2053.0,2505685300000.0,2807415200000.0,2727432000000.0,2792715200000.0,2891327700000.0,2664866500000.0,2802946700000.0,2813311300000.0,2906839600000.0,2588782000000.0,3253370000000.0,3131153300000.0,2967760500000.0,2907987800000.0
2054.0,2478168600000.0,2787759400000.0,2705026200000.0,2770033000000.0,2863173700000.0,2649118700000.0,2773541200000.0,2779323800000.0,2883184800000.0,2563679500000.0,3255537500000.0,3117526300000.0,2958872000000.0,2895158400000.0
2055.0,2444387400000.0,2764235300000.0,2690485000000.0,2744721600000.0,2841934000000.0,2630045400000.0,2750480600000.0,2742172300000.0,2860903000000.0,2531951400000.0,3247206600000.0,3100873900000.0,2945532800000.0,2877670300000.0
2056.0,2407301400000.0,2743830000000.0,2666276600000.0,2717681000000.0,2821733500000.0,2615936000000.0,2734773200000.0,2694043000000.0,2846599000000.0,2510426700000.0,3246283600000.0,3073728300000.0,2924455100000.0,2870962300000.0
2057.0,2365847200000.0,2720803800000.0,2648977700000.0,2706971600000.0,2805502600000.0,2601014500000.0,2704020300000.0,2661835000000.0,2827023000000.0,2495584000000.0,3235985800000.0,3046130600000.0,2907936400000.0,2858052500000.0
2058.0,2336388300000.0,2699481300000.0,2636412400000.0,2692153000000.0,2784562500000.0,2588073800000.0,2679792200000.0,2621610400000.0,2802252500000.0,2464852000000.0,3237396300000.0,3023234000000.0,2895756000000.0,2848109600000.0
2059.0,2295990800000.0,2671620400000.0,2622859000000.0,2677621000000.0,2762429000000.0,2565249200000.0,2647224000000.0,2570191000000.0,2795366800000.0,2439330100000.0,3224921700000.0,3006742400000.0,2885219300000.0,2831833000000.0
2060.0,2267145600000.0,2649764100000.0,2610322500000.0,2663546600000.0,2737394200000.0,2541711500000.0,2619851100000.0,2537297800000.0,2772304700000.0,2413519200000.0,3216472000000.0,2986274500000.0,2875366600000.0,2811988000000.0
2061.0,2238101800000.0,2632330200000.0,2599010400000.0,2645477800000.0,2711890200000.0,2522691400000.0,2593457700000.0,2510267400000.0,2749202200000.0,2393168700000.0,3213590500000.0,2961584700000.0,2861736000000.0,2793612800000.0
2062.0,2204797200000.0,2614096800000.0,2588638700000.0,2626464300000.0,2678974000000.0,2504982000000.0,2574775200000.0,2472953500000.0,2725037200000.0,2370349600000.0,3209800500000.0,2940755000000.0,2850022800000.0,2779518300000.0
2063.0,2167716400000.0,2592956500000.0,2570569000000.0,2611861800000.0,2656168000000.0,2486757200000.0,2556669500000.0,2433548800000.0,2706467200000.0,2345478400000.0,3193659000000.0,2916024600000.0,2829622000000.0,2768941600000.0
