time,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM,CANESM5,BCC-CSM2-MR,IPSL-CM6A-LR,FGOALS-F3-L,ACCESS-CM2,CESM2,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8
2065.0,2928320000000.0,2784895000000.0,2927146800000.0,1635682400000.0,2550087300000.0,2791364600000.0,2610681300000.0,2355090200000.0,2853875700000.0,2496560600000.0,2443677000000.0,3295508200000.0,2094790200000.0,2727008300000.0,2419621400000.0,2426001400000.0,2804361200000.0
2066.0,2909621700000.0,2775662200000.0,2912464700000.0,1605913000000.0,2539561400000.0,2771361700000.0,2593508000000.0,2329205300000.0,2850430600000.0,2476826400000.0,2435129300000.0,3304483000000.0,2077099300000.0,2715543700000.0,2397221400000.0,2414097200000.0,2785985700000.0
2067.0,2890630000000.0,2762371000000.0,2892154000000.0,1573826500000.0,2525283000000.0,2756309200000.0,2584559700000.0,2307625000000.0,2856489000000.0,2470523000000.0,2423549900000.0,3303422300000.0,2049184500000.0,2717155900000.0,2387640000000.0,2394439000000.0,2769422000000.0
2068.0,2878809600000.0,2744671800000.0,2873710300000.0,1541050500000.0,2512946500000.0,2741514000000.0,2571936200000.0,2284436600000.0,2852863000000.0,2438420800000.0,2414423800000.0,3280500400000.0,2023184700000.0,2712283400000.0,2373654200000.0,2372430000000.0,2756108400000.0
2069.0,2870621800000.0,2732708300000.0,2853232000000.0,1511172900000.0,2499383400000.0,2729627400000.0,2559788700000.0,2260261700000.0,2864091000000.0,2418697000000.0,2401862200000.0,3271935000000.0,2001133200000.0,2711052600000.0,2354998400000.0,2353650500000.0,2736626900000.0
2070.0,2856692700000.0,2722231700000.0,2838621300000.0,1479661600000.0,2483383000000.0,2718692800000.0,2546087000000.0,2241765300000.0,2860188700000.0,2409614000000.0,2388271600000.0,3257380400000.0,1976428500000.0,2716072700000.0,2329506500000.0,2337889800000.0,2725913800000.0
2071.0,2848795400000.0,2710197500000.0,2826012700000.0,1440656000000.0,2450419600000.0,2704748300000.0,2540095700000.0,2210761300000.0,2853435600000.0,2386103000000.0,2381319500000.0,3247524000000.0,1951287600000.0,2722054500000.0,2300040000000.0,2330018400000.0,2716770500000.0
2072.0,2839681200000.0,2700196400000.0,2825264600000.0,1405065900000.0,2426595200000.0,2687051800000.0,2526868400000.0,2179112000000.0,2853442200000.0,2376315200000.0,2371126800000.0,3239242000000.0,1930878500000.0,2719114600000.0,2288609000000.0,2318989800000.0,2709599000000.0
2073.0,2827477800000.0,2690358200000.0,2816074600000.0,1377179900000.0,2409762000000.0,2666311500000.0,2513798700000.0,2165391000000.0,2850418000000.0,2356721000000.0,2361720600000.0,3228740400000.0,1915465800000.0,2719254600000.0,2270530000000.0,2299406300000.0,2699884000000.0
2074.0,2825817400000.0,2678333000000.0,2812263800000.0,1348246000000.0,2392197700000.0,2660780700000.0,2502800700000.0,2147639400000.0,2844946600000.0,2333996500000.0,2349400600000.0,3226734000000.0,1895481700000.0,2715393000000.0,2256783800000.0,2284569200000.0,2686355200000.0
2075.0,2822707300000.0,2667484000000.0,2798056000000.0,1316329800000.0,2378299300000.0,2650984700000.0,2489157700000.0,2131889600000.0,2849370800000.0,2313966600000.0,2341362000000.0,3216980000000.0,1872776000000.0,2713452000000.0,2237111500000.0,2269028000000.0,2672272000000.0
2076.0,2814148600000.0,2660471100000.0,2792444000000.0,1280520600000.0,2370371600000.0,2635591600000.0,2476639800000.0,2117076900000.0,2850160400000.0,2302579300000.0,2339175100000.0,3207862700000.0,1853075500000.0,2714195000000.0,2220523500000.0,2252133000000.0,2651648400000.0
2077.0,2808183500000.0,2652380000000.0,2793935000000.0,1246890800000.0,2349678200000.0,2622044500000.0,2458055900000.0,2100441500000.0,2844584800000.0,2279356000000.0,2332739200000.0,3198320400000.0,1831678000000.0,2715770400000.0,2213682600000.0,2230887400000.0,2635104300000.0
2078.0,2796751200000.0,2641802600000.0,2798691800000.0,1208668700000.0,2335303300000.0,2611073500000.0,2448312500000.0,2082530800000.0,2842330700000.0,2260802500000.0,2329107500000.0,3190267600000.0,1812940000000.0,2708105900000.0,2203164600000.0,2208058300000.0,2615985600000.0
2079.0,2793676700000.0,2630767600000.0,2792746000000.0,1169513000000.0,2316683200000.0,2601683500000.0,2437137800000.0,2064483000000.0,2841303300000.0,2247118300000.0,2322997000000.0,3168933200000.0,1789102300000.0,2710580500000.0,2185167200000.0,2194208000000.0,2600478400000.0
2080.0,2788352300000.0,2606778000000.0,2790747800000.0,1139616300000.0,2304772400000.0,2587915000000.0,2419870000000.0,2049174700000.0,2847731000000.0,2227700500000.0,2323651000000.0,3166217400000.0,1770002800000.0,2712768000000.0,2168644600000.0,2185483900000.0,2586690500000.0
