time,NORESM2-MM,IPSL-CM6A-LR,CAMS-CSM1-0,CESM2-WACCM,TAIESM1,ACCESS-ESM1-5,EC-EARTH3,ACCESS-CM2,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,MRI-ESM2-0,CESM2,GFDL-ESM4,CMCC-CM2-SR5,MPI-ESM1-2-HR
2040.0,39666280000.0,42462210000.0,80724050000.0,48271286000.0,40949805000.0,40402547000.0,34138206000.0,42309180000.0,49110237000.0,34864840000.0,48324215000.0,45884727000.0,44800483000.0,44551602000.0,29844957000.0,50590765000.0,64005900000.0,45582460000.0,58039402000.0
2041.0,37555905000.0,40069374000.0,80017510000.0,45339062000.0,38996787000.0,38256980000.0,31977507000.0,40824734000.0,48074150000.0,33365613000.0,45202506000.0,42447700000.0,43353735000.0,41007920000.0,28465758000.0,47423594000.0,62119150000.0,42504282000.0,54666416000.0
2042.0,35103044000.0,37581330000.0,80528490000.0,44288774000.0,36950893000.0,35049890000.0,28976159000.0,37152900000.0,46923264000.0,30561954000.0,45307760000.0,40840240000.0,41908384000.0,40409180000.0,26481320000.0,44708080000.0,61313364000.0,39178535000.0,50975700000.0
2043.0,32509940000.0,36748820000.0,77264690000.0,42615595000.0,33217155000.0,32119920000.0,26047334000.0,35302113000.0,44280713000.0,29403924000.0,43128394000.0,37671743000.0,39261950000.0,36767965000.0,24846540000.0,40582713000.0,61159480000.0,36485320000.0,50519760000.0
2044.0,31302087000.0,32997372000.0,75125604000.0,41999213000.0,31005686000.0,28509624000.0,22922138000.0,34578637000.0,43801928000.0,26818540000.0,40701560000.0,33599030000.0,37423067000.0,36466565000.0,24132766000.0,37915656000.0,59812626000.0,35261640000.0,49247030000.0
2045.0,30249085000.0,30332238000.0,71500690000.0,40275714000.0,27633297000.0,25157333000.0,21239828000.0,32996706000.0,43330780000.0,25049598000.0,38144926000.0,32102285000.0,36240720000.0,35156780000.0,22257742000.0,35855470000.0,57498140000.0,33740206000.0,47089615000.0
2046.0,28530786000.0,27098370000.0,70145180000.0,38754040000.0,24855290000.0,23252058000.0,20055816000.0,31908570000.0,41586990000.0,22856974000.0,36150020000.0,29599760000.0,34189904000.0,33244586000.0,21383928000.0,32743119000.0,56215450000.0,30611309000.0,46725180000.0
2047.0,26812582000.0,25017690000.0,66793870000.0,36569346000.0,23432272000.0,20703678000.0,18190172000.0,31103015000.0,40806453000.0,23029440000.0,33868452000.0,26739382000.0,33394366000.0,30606596000.0,19521303000.0,29677701000.0,52897083000.0,29079972000.0,45809213000.0
2048.0,25085305000.0,23335115000.0,64049185000.0,34810830000.0,21978630000.0,18429782000.0,15991485000.0,28426463000.0,38875263000.0,20905660000.0,30223176000.0,24260460000.0,30785479000.0,29048558000.0,19029750000.0,27605082000.0,51228926000.0,26841905000.0,44144325000.0
2049.0,23319863000.0,21772521000.0,62603452000.0,32845095000.0,20816517000.0,16432665000.0,14081241000.0,26536403000.0,37283400000.0,17690735000.0,29073695000.0,21601490000.0,29461234000.0,27575441000.0,18323622000.0,24951060000.0,49002930000.0,26693413000.0,42518750000.0
2050.0,21067889000.0,20528523000.0,61039886000.0,29835397000.0,19818424000.0,14758054000.0,12576402000.0,25593020000.0,34089091000.0,16601882000.0,26551996000.0,20781703000.0,28435304000.0,26644826000.0,17364462000.0,22192650000.0,48339390000.0,24136094000.0,42061930000.0
2051.0,20246098000.0,19318470000.0,59795456000.0,27781177000.0,19268272000.0,12882363000.0,11516960000.0,23752546000.0,33307860000.0,15780192000.0,24619600000.0,18798615000.0,27638330000.0,24354400000.0,16407487000.0,20311048000.0,46905205000.0,21654188000.0,40828776000.0
2052.0,19798100000.0,18403684000.0,59007720000.0,26297252000.0,17673159000.0,11671995000.0,10744233000.0,23006063000.0,31695751000.0,15000451000.0,21938094000.0,16482904000.0,26979656000.0,23488250000.0,15487896000.0,18703160000.0,44007244000.0,20423698000.0,38550820000.0
