time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2089.0,40935410000000.0,33684061000000.0,34277460000000.0,37799617000000.0,25667966000000.0,25397396000000.0,24100972000000.0,36761830000000.0,31850370000000.0,30237948000000.0
2090.0,40788880000000.0,33336272000000.0,33976150000000.0,37581354000000.0,25212523000000.0,24778730000000.0,23540395000000.0,36621106000000.0,31483490000000.0,29797360000000.0
2091.0,40553366000000.0,32987366000000.0,33738958000000.0,37379067000000.0,24709700000000.0,24204102000000.0,23026960000000.0,36407008000000.0,31104970000000.0,29143360000000.0
2092.0,40348886000000.0,32693400000000.0,33448696000000.0,37246997000000.0,24206601000000.0,23527710000000.0,22562424000000.0,36212070000000.0,30684956000000.0,28712565000000.0
2093.0,40183165000000.0,32417652000000.0,33126166000000.0,37157790000000.0,23530880000000.0,22975219000000.0,22112025000000.0,35909430000000.0,30332070000000.0,28222868000000.0
2094.0,40028710000000.0,32151160000000.0,32910227000000.0,37043270000000.0,22841685000000.0,22367220000000.0,21670102000000.0,35759330000000.0,29983542000000.0,27711221000000.0
2095.0,39733690000000.0,31787320000000.0,32676292000000.0,36826576000000.0,22338261000000.0,21692598000000.0,21126594000000.0,35476850000000.0,29679916000000.0,27224384000000.0
2096.0,39472070000000.0,31446253000000.0,32356713000000.0,36565313000000.0,21818803000000.0,20963159000000.0,20418811000000.0,35258200000000.0,29267883000000.0,26802968000000.0
2097.0,39272963000000.0,31002735000000.0,32003848000000.0,36299583000000.0,21307910000000.0,20296170000000.0,19845750000000.0,35002817000000.0,28964567000000.0,26390570000000.0
2098.0,39056424000000.0,30535559000000.0,31680295000000.0,36036650000000.0,20778181000000.0,19706042000000.0,19297494000000.0,34786723000000.0,28555940000000.0,25994920000000.0
2099.0,38885808000000.0,30140640000000.0,31388961000000.0,35795820000000.0,20258100000000.0,19022607000000.0,18843284000000.0,34492945000000.0,28264960000000.0,25605876000000.0
2100.0,38514080000000.0,29795438000000.0,31095333000000.0,35580017000000.0,19726290000000.0,18420844000000.0,18379780000000.0,34359766000000.0,27988150000000.0,25087598000000.0
