time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2085.0,89526086215250.0,108170965172500.0,86749666641800.0,87480042209240.0,98976417814600.0,92174748277000.0,109141593109400.0,91553942010200.0,84404036614900.0,95994827123930.0
2086.0,88457827757110.0,107550185049600.0,85291309725600.0,86014237880340.0,98018390765800.0,90915753271900.0,108472460197900.0,90340138875300.0,83096524423600.0,94747831408540.0
2087.0,87366578902130.0,106956685498300.0,84291461513200.0,84693737674300.0,96867926121000.0,89402063440800.0,107677835366000.0,89158433779900.0,81572027242000.0,93631268830300.0
2088.0,86258139899780.0,106277287935000.0,83226844227700.0,83395095841240.0,95666283889900.0,87955280126300.0,106685467387900.0,87876119576600.0,80179862646500.0,92306252731850.0
2089.0,85163731152400.0,105611908969600.0,82056504558900.0,82107103656000.0,94351241380000.0,86374471888300.0,105702666975400.0,86516950721900.0,78790859493100.0,91020480471500.0
2090.0,84045817179900.0,104852924495200.0,80881277766100.0,80726560043100.0,93245394171900.0,84932187177400.0,104877605335000.0,85341215906700.0,77259361944500.0,89541774274230.0
2091.0,82907666479330.0,104067116513000.0,79739462930200.0,79161879829140.0,92305545609800.0,83393080538700.0,103827645514900.0,84141554087300.0,75704888231300.0,88044523003450.0
2092.0,81838881114670.0,103297400048200.0,78462915123460.0,77864261829360.0,91196930047800.0,82028776257400.0,103004027203300.0,82952468368600.0,74239052602400.0,86464907036020.0
2093.0,80848102900250.0,102320272538700.0,77304646648500.0,76399358511580.0,90175405967200.0,80547707822000.0,102092602109000.0,81847512153100.0,72980563993600.0,85113446387650.0
2094.0,79764253505280.0,101495058300600.0,76070744363000.0,74947639603250.0,89204555179500.0,79000437212500.0,101279655481100.0,80804892641400.0,71549911901300.0,83596280366470.0
2095.0,78509807268700.0,100556809429500.0,74872025256800.0,73550332730270.0,88120540840100.0,77729171608400.0,100373923830900.0,79629546416200.0,70100301047500.0,82196690223800.0
2096.0,77370330227370.0,99808728348000.0,73817036376500.0,72226033015900.0,86993208748400.0,76312450865600.0,99519903865700.0,78472370683800.0,68543005312100.0,80695800030580.0
2097.0,76266094286220.0,99037416752600.0,72751220029360.0,71034625620900.0,85951967947300.0,75049918880400.0,98433725441300.0,77188130281600.0,67043554141700.0,79215624530040.0
2098.0,75202781154960.0,98219865175100.0,71488744927830.0,69746218302200.0,84936230344900.0,73818490672700.0,97414752631000.0,75835804856700.0,65816767977000.0,77908179494590.0
2099.0,74133943779560.0,97397694817400.0,70319571492600.0,68461800890490.0,83885160354200.0,72386677819500.0,96462414444700.0,74684586243900.0,64594405905300.0,76622643687680.0
2100.0,72775806271430.0,96547742782000.0,69368050215750.0,67153138208900.0,82909364230300.0,71108978735100.0,95555575757000.0,73552628619500.0,63421429719000.0,75237822446910.0
