time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5
2071.0,125640732552000.0,110939285665000.0,128200001115000.0,122296279536000.0,119237621429000.0,110493096577000.0,112252808470000.0,114544885456000.0,117251557185300.0,117930192067000.0,96631859762000.0
2072.0,125256304532000.0,110145078240900.0,127869784892000.0,121679861213000.0,118719240428000.0,109765073214000.0,111517804780000.0,113762265955000.0,116623661616600.0,117306541902000.0,95465521441000.0
2073.0,124772822538000.0,109293722959000.0,127358184931000.0,121061082953000.0,118161289541000.0,109029444116000.0,110790448533000.0,112948436539000.0,116029636945900.0,116534456582000.0,94342778568000.0
2074.0,124326627878000.0,108612169878500.0,127098270049000.0,120399638148000.0,117556817611000.0,108339154149000.0,110089703599000.0,112165778695000.0,115428864388000.0,115744150179000.0,93144408633000.0
2075.0,123858365851000.0,107723227410600.0,126575705310000.0,119706107642000.0,116945612014000.0,107793113282000.0,109166746504000.0,111426643682000.0,114816926195000.0,114849231161000.0,92003601849000.0
2076.0,123419882669000.0,106869651066000.0,126259254125000.0,118941202610000.0,116287433850000.0,107168283085000.0,108381551390000.0,110686888460000.0,114062226940900.0,113700957026000.0,90946771273000.0
2077.0,122963969103000.0,106005371725500.0,125917590978000.0,118265887516000.0,115655446005000.0,106526347586000.0,107595883209000.0,109906549038000.0,113393218113000.0,112757234271000.0,89927046321000.0
2078.0,122609823152000.0,105208760138400.0,125461734338000.0,117776900340000.0,114898058906000.0,105799712687000.0,106761256967000.0,109061347118000.0,112707271298600.0,111795659149000.0,88794262156000.0
2079.0,122293613133000.0,104645005120700.0,124981423238000.0,117255307832000.0,114263192488000.0,105015400859000.0,105941493910000.0,108365280660000.0,111992958971200.0,110917951019000.0,87726426272000.0
2080.0,121813670071000.0,104140489604100.0,124765126702000.0,116616290782000.0,113833882783000.0,104263361578000.0,105021696075000.0,107665670826000.0,111266632184000.0,110093523943000.0,86521330643000.0
2081.0,121331303726000.0,103614215635600.0,124501451456000.0,116062919773000.0,113272568694000.0,103559819409000.0,104022546972000.0,106818430425000.0,110734584165000.0,109138042966000.0,85426303909000.0
2082.0,120697001418000.0,103112288915400.0,124211774387000.0,115491506876000.0,112648954851000.0,102771985972000.0,103246278422000.0,106015149329000.0,110108383782100.0,108194348086000.0,84358911904000.0
2083.0,120016597011000.0,102541448449300.0,123914600906000.0,114607526408000.0,112187931425000.0,102023134511000.0,102404329434000.0,105265266142000.0,109494169989500.0,107471246727000.0,83063073309000.0
2084.0,119611515636000.0,101865298522300.0,123546913201000.0,113901258298000.0,111642318803000.0,101273427866300.0,101663118696000.0,104522211228000.0,108733162267300.0,106467211024000.0,81768261978000.0
2085.0,119276086342000.0,101275699171200.0,123134043107000.0,113040123464000.0,111186847782000.0,100585896947400.0,101021533029000.0,103723572932000.0,108001290195700.0,105478625244000.0,80735457096000.0
2086.0,118799532668000.0,100679605042200.0,122684331686000.0,112413211595000.0,110763649430000.0,99680483985700.0,100367045588000.0,103005137090000.0,107290718801000.0,104761545030000.0,79573801417000.0
