time,CESM1-CAM5,CCSM4,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2078.0,2701479000000.0,6133319000000.0,5648468000000.0,5616014000000.0,5595630400000.0,5990111000000.0,5596515400000.0,5763619000000.0,5017850300000.0,2988468600000.0,4344688400000.0
2079.0,2619225000000.0,6084741300000.0,5596164000000.0,5581754600000.0,5547624500000.0,5956448000000.0,5550336000000.0,5706504000000.0,4959876000000.0,2915962500000.0,4287914300000.0
2080.0,2549737800000.0,6040684000000.0,5538961000000.0,5560468000000.0,5518936500000.0,5934101000000.0,5504705000000.0,5650389000000.0,4906200000000.0,2831539500000.0,4220814000000.0
2081.0,2468420800000.0,5996832400000.0,5493064000000.0,5500127000000.0,5464332400000.0,5898110500000.0,5451627400000.0,5598190000000.0,4835975400000.0,2753663300000.0,4135847500000.0
2082.0,2396531700000.0,5935479700000.0,5428652000000.0,5439361600000.0,5392615600000.0,5862904000000.0,5410076500000.0,5558663000000.0,4769057000000.0,2676043800000.0,4068843200000.0
2083.0,2323143500000.0,5891319000000.0,5373677000000.0,5392184000000.0,5335183500000.0,5829999000000.0,5359994400000.0,5506264500000.0,4697501500000.0,2603070000000.0,4010197000000.0
2084.0,2245237400000.0,5860168300000.0,5320193000000.0,5321917500000.0,5291383500000.0,5791957000000.0,5313527300000.0,5452265000000.0,4636404000000.0,2527907300000.0,3947135000000.0
2085.0,2174041500000.0,5815665700000.0,5288530300000.0,5261824000000.0,5233425000000.0,5754241000000.0,5266815300000.0,5394332000000.0,4564114700000.0,2467121600000.0,3876465000000.0
2086.0,2104181100000.0,5778328000000.0,5252131600000.0,5205759000000.0,5209766000000.0,5716804000000.0,5209838000000.0,5331566000000.0,4495066000000.0,2398991700000.0,3810009500000.0
2087.0,2043442800000.0,5728520600000.0,5208857400000.0,5153989600000.0,5166045000000.0,5686374700000.0,5133277600000.0,5278864000000.0,4418871000000.0,2331093200000.0,3746653800000.0
2088.0,1970629000000.0,5692075000000.0,5180506500000.0,5103145000000.0,5132443000000.0,5653680000000.0,5070937700000.0,5227262500000.0,4342400400000.0,2265041600000.0,3680009000000.0
2089.0,1906486700000.0,5647964300000.0,5139259000000.0,5062799700000.0,5072669000000.0,5624688500000.0,5020248000000.0,5178177600000.0,4269331400000.0,2187705800000.0,3621338200000.0
2090.0,1848013400000.0,5610800000000.0,5103110000000.0,5003452000000.0,5021810300000.0,5589560700000.0,4974638500000.0,5134177000000.0,4210433000000.0,2129317700000.0,3551564000000.0
2091.0,1791046000000.0,5566882000000.0,5057374300000.0,4952931000000.0,4996161600000.0,5563371000000.0,4934663000000.0,5080728700000.0,4150688200000.0,2066200400000.0,3487825000000.0
2092.0,1740705000000.0,5506662000000.0,5025985000000.0,4889079400000.0,4942936400000.0,5527029000000.0,4874787000000.0,5045725700000.0,4081111300000.0,2006576000000.0,3438412800000.0
2093.0,1685158600000.0,5474541400000.0,4990858000000.0,4843833000000.0,4895729500000.0,5497094700000.0,4830175700000.0,4996302000000.0,4017047000000.0,1949721800000.0,3394058300000.0
2094.0,1629025600000.0,5439735000000.0,4951563000000.0,4778718400000.0,4855579500000.0,5457389000000.0,4780088400000.0,4945968400000.0,3954162800000.0,1890050500000.0,3341644500000.0
2095.0,1579388800000.0,5407390000000.0,4907351400000.0,4732076000000.0,4805553000000.0,5427445600000.0,4721550600000.0,4900169000000.0,3895913600000.0,1831308000000.0,3277145000000.0
2096.0,1534089600000.0,5390368500000.0,4865838300000.0,4686040500000.0,4753745500000.0,5389159000000.0,4664832000000.0,4848423000000.0,3837702400000.0,1770354800000.0,3219796000000.0
2097.0,1490258000000.0,5365661000000.0,4829098000000.0,4622969000000.0,4723892000000.0,5357522000000.0,4595956000000.0,4813804300000.0,3777891000000.0,1715858800000.0,3169438400000.0
2098.0,1442644500000.0,5331006000000.0,4781617000000.0,4586103000000.0,4680879400000.0,5309296000000.0,4550678000000.0,4768398000000.0,3712047600000.0,1660278100000.0,3122818700000.0
2099.0,1393702700000.0,5298159000000.0,4738727300000.0,4543709400000.0,4630669000000.0,5280009600000.0,4486327700000.0,4712841600000.0,3651903400000.0,1606488600000.0,3083795700000.0
2100.0,1343729600000.0,5279253000000.0,4697946600000.0,4501057000000.0,4588454300000.0,5245661300000.0,4442374500000.0,4673100000000.0,3585955300000.0,1558975000000.0,3034507000000.0
