time,CANESM2,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,CESM1-CAM5,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CSIRO-MK3-6-0
2087.0,5318538400000.0,5457311700000.0,6367833000000.0,5959581700000.0,6016890600000.0,3922003000000.0,6047559300000.0,4015529000000.0,2665967500000.0,4395771400000.0,5518804000000.0
2088.0,5253879000000.0,5426933000000.0,6358417000000.0,5937820600000.0,5987734400000.0,3862250700000.0,6012613400000.0,3973562800000.0,2610562300000.0,4336462600000.0,5477132000000.0
2089.0,5211048000000.0,5402442300000.0,6342794000000.0,5919239300000.0,5945329500000.0,3794595200000.0,5982693000000.0,3929466500000.0,2553112000000.0,4291537700000.0,5445988000000.0
2090.0,5153426500000.0,5358481000000.0,6316773300000.0,5895438700000.0,5913710700000.0,3712950500000.0,5934698000000.0,3880850000000.0,2491816000000.0,4227984300000.0,5413188000000.0
2091.0,5098299000000.0,5328348000000.0,6296559000000.0,5868483000000.0,5882454000000.0,3648237000000.0,5895117300000.0,3847998400000.0,2436695900000.0,4162107200000.0,5360262300000.0
2092.0,5042190000000.0,5298639000000.0,6273261600000.0,5839884600000.0,5833927700000.0,3582925700000.0,5876693300000.0,3796731000000.0,2377112600000.0,4112794000000.0,5338465000000.0
2093.0,4978002000000.0,5249306000000.0,6236627000000.0,5815020000000.0,5802876000000.0,3519274300000.0,5847321700000.0,3760108900000.0,2327013200000.0,4057938500000.0,5305381000000.0
2094.0,4940949400000.0,5218562000000.0,6199860300000.0,5770337300000.0,5770923000000.0,3464007300000.0,5799157000000.0,3702243200000.0,2288800200000.0,4004595000000.0,5262879500000.0
2095.0,4895604700000.0,5179068000000.0,6171885300000.0,5729882000000.0,5718756000000.0,3414779000000.0,5762593600000.0,3649297400000.0,2239259700000.0,3953448000000.0,5225466000000.0
2096.0,4851739700000.0,5148214000000.0,6150048000000.0,5694120500000.0,5688553600000.0,3355675500000.0,5730237000000.0,3598296300000.0,2197307400000.0,3907715600000.0,5194744600000.0
2097.0,4806004400000.0,5119039000000.0,6127708000000.0,5664035000000.0,5659001000000.0,3289061800000.0,5685514000000.0,3560997400000.0,2142174800000.0,3857013000000.0,5161632000000.0
2098.0,4748648400000.0,5093079400000.0,6101025700000.0,5644685400000.0,5617804600000.0,3228632600000.0,5652134000000.0,3520156000000.0,2093714800000.0,3803991500000.0,5131542000000.0
2099.0,4696141000000.0,5062031600000.0,6076070000000.0,5621249700000.0,5596813000000.0,3159187500000.0,5620446500000.0,3475969700000.0,2045403200000.0,3752333700000.0,5091947400000.0
2100.0,4652765000000.0,5030237000000.0,6040491400000.0,5598602600000.0,5556771000000.0,3100658600000.0,5573737700000.0,3436981300000.0,1996517500000.0,3706266300000.0,5052261500000.0
