time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2090.0,6027600700000.0,11632926000000.0,5525400000000.0,6758248500000.0,8239971000000.0,5635008600000.0,9843259000000.0,5276141000000.0,10377734000000.0,8196660000000.0
2091.0,5910465300000.0,11499642000000.0,5353570300000.0,6605895600000.0,8095178000000.0,5443608000000.0,9690235000000.0,5142951000000.0,10178671000000.0,8063359000000.0
2092.0,5764907000000.0,11366932000000.0,5236364700000.0,6455192700000.0,7912825000000.0,5301087500000.0,9590273000000.0,4998018000000.0,9979926000000.0,7889348500000.0
2093.0,5637625000000.0,11273209000000.0,5112534000000.0,6328253700000.0,7759082000000.0,5180665400000.0,9452267000000.0,4858980600000.0,9779970000000.0,7725952500000.0
2094.0,5482411000000.0,11200453000000.0,4965648600000.0,6177804000000.0,7605401000000.0,5064938000000.0,9346762000000.0,4752981600000.0,9627097000000.0,7542746400000.0
2095.0,5336389000000.0,11098042000000.0,4836080000000.0,6050185000000.0,7433232600000.0,4953033000000.0,9213430000000.0,4622996000000.0,9471115000000.0,7366411600000.0
2096.0,5221134600000.0,11081529000000.0,4711956600000.0,5900645000000.0,7294184600000.0,4800875000000.0,9148148000000.0,4481583400000.0,9332375000000.0,7241491000000.0
2097.0,5097645000000.0,10972807000000.0,4511456000000.0,5812884300000.0,7164214600000.0,4665900000000.0,8923246000000.0,4305815300000.0,9174845000000.0,7061025300000.0
2098.0,4996236000000.0,10817671000000.0,4359951700000.0,5672904000000.0,7040606000000.0,4569687000000.0,8747506700000.0,4158958900000.0,9083262000000.0,6928447000000.0
2099.0,4887599400000.0,10719724000000.0,4205146000000.0,5537305500000.0,6906318400000.0,4443192400000.0,8611625400000.0,4059013300000.0,8952048000000.0,6819666700000.0
2100.0,4749068000000.0,10600073000000.0,4058349300000.0,5415838400000.0,6817427000000.0,4354699200000.0,8512782500000.0,3954124300000.0,8839027000000.0,6670514000000.0
