time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2180.0,878443040000.0,3877061800000.0,2627280800000.0,1295345900000.0,1082290400000.0,863481300000.0
2181.0,870254800000.0,3875858500000.0,2596013600000.0,1275606500000.0,1068109140000.0,855654470000.0
2182.0,857998560000.0,3883927300000.0,2564293100000.0,1259882400000.0,1054250700000.0,849418260000.0
2183.0,844868000000.0,3883566400000.0,2545427700000.0,1249396000000.0,1047316400000.0,842104770000.0
2184.0,835759000000.0,3888372000000.0,2524955500000.0,1236499300000.0,1034709700000.0,837632500000.0
2185.0,826688100000.0,3888858300000.0,2507562800000.0,1219773300000.0,1021365600000.0,825408200000.0
2186.0,809682670000.0,3893363700000.0,2483336500000.0,1202042700000.0,1010506600000.0,821640040000.0
2187.0,800070240000.0,3905883700000.0,2460740700000.0,1186028800000.0,996560670000.0,814681700000.0
2188.0,784122000000.0,3914905000000.0,2434412300000.0,1174918300000.0,990164550000.0,807675100000.0
2189.0,774222200000.0,3917231400000.0,2423249400000.0,1161365200000.0,974029650000.0,799384500000.0
2190.0,766394700000.0,3926501400000.0,2406644000000.0,1149993200000.0,960862200000.0,793035600000.0
2191.0,755075840000.0,3927949000000.0,2388697000000.0,1135502000000.0,948427600000.0,786954650000.0
2192.0,748320600000.0,3931546300000.0,2380520000000.0,1118736200000.0,936494240000.0,781419800000.0
2193.0,741331400000.0,3937000200000.0,2367203600000.0,1105495700000.0,928216600000.0,774174900000.0
2194.0,733826250000.0,3947212600000.0,2354864000000.0,1092951340000.0,917332360000.0,770262200000.0
2195.0,721735060000.0,3954238600000.0,2329078100000.0,1078572300000.0,906021100000.0,766514360000.0
2196.0,711664340000.0,3961287000000.0,2312224000000.0,1060043360000.0,892184300000.0,762606500000.0
2197.0,701426600000.0,3958805000000.0,2296136000000.0,1047466000000.0,880704160000.0,757425000000.0
2198.0,691728800000.0,3966294300000.0,2284497700000.0,1033599400000.0,866569550000.0,748777960000.0
2199.0,682882600000.0,3968533500000.0,2270373600000.0,1019240050000.0,854531600000.0,742193040000.0
2200.0,673376100000.0,3973051800000.0,2253036700000.0,1004829600000.0,844004700000.0,739412340000.0
2201.0,665373970000.0,3976524000000.0,2238348500000.0,988705200000.0,836795200000.0,739649850000.0
2202.0,657410600000.0,3988141400000.0,2217215300000.0,968190660000.0,827283500000.0,733380900000.0
2203.0,648667100000.0,3995069800000.0,2197626700000.0,953964300000.0,819082360000.0,725836040000.0
2204.0,639372750000.0,4004608500000.0,2180309600000.0,940418300000.0,809758000000.0,720116060000.0
2205.0,632052100000.0,4012212700000.0,2161392900000.0,930996400000.0,802418900000.0,716893600000.0
2206.0,623770000000.0,4019066200000.0,2143619800000.0,921822800000.0,792291970000.0,712640500000.0
2207.0,615979400000.0,4030238000000.0,2125168900000.0,909557100000.0,784056840000.0,706510260000.0
2208.0,605874100000.0,4038112800000.0,2111357200000.0,895573160000.0,776965400000.0,704173050000.0
