time,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,CANESM2,NORESM1-M,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R
2064.0,2170167600000.0,1868959400000.0,2593713800000.0,1836832500000.0,2006425800000.0,2113960000000.0,1962629400000.0,2097068100000.0,869534660000.0,2008655900000.0,2295410200000.0
2065.0,2165975800000.0,1848976200000.0,2595114200000.0,1824845300000.0,1989368700000.0,2103012900000.0,1949272500000.0,2077215000000.0,839864350000.0,2003457400000.0,2281381000000.0
2066.0,2169492700000.0,1821513000000.0,2590559700000.0,1802000300000.0,1967447000000.0,2098288400000.0,1925811900000.0,2059066000000.0,812838160000.0,1985611000000.0,2272885700000.0
2067.0,2169714500000.0,1811574700000.0,2608533900000.0,1783896700000.0,1950780900000.0,2083208400000.0,1907937400000.0,2042170700000.0,793748770000.0,1970361000000.0,2254284800000.0
2068.0,2167914400000.0,1793143100000.0,2600511500000.0,1782587300000.0,1931462200000.0,2066994700000.0,1889044300000.0,2016886900000.0,773096340000.0,1950685700000.0,2233197400000.0
2069.0,2171209800000.0,1774725200000.0,2603778300000.0,1760652200000.0,1927470600000.0,2056121000000.0,1870160900000.0,1993516400000.0,748274900000.0,1934670400000.0,2218560800000.0
2070.0,2148740500000.0,1756545500000.0,2603555000000.0,1734374000000.0,1913687200000.0,2047453300000.0,1845721000000.0,1979084800000.0,727123200000.0,1925326000000.0,2199203300000.0
2071.0,2141459400000.0,1729913200000.0,2615227700000.0,1720541000000.0,1893138700000.0,2032715700000.0,1838919300000.0,1949813300000.0,706969600000.0,1905909800000.0,2196693000000.0
2072.0,2147850600000.0,1715601400000.0,2607034400000.0,1702611600000.0,1882105400000.0,2018664500000.0,1812880600000.0,1939695600000.0,686493200000.0,1897962900000.0,2185927300000.0
2073.0,2161008000000.0,1692002800000.0,2625166600000.0,1687884700000.0,1873519400000.0,2008966500000.0,1799431400000.0,1938627600000.0,672043600000.0,1892943800000.0,2185542800000.0
2074.0,2175295600000.0,1668144300000.0,2645389700000.0,1688835500000.0,1856357300000.0,2002832200000.0,1781678000000.0,1937462900000.0,650114200000.0,1876952200000.0,2185393100000.0
2075.0,2186895200000.0,1655189700000.0,2646464300000.0,1665229000000.0,1850243800000.0,1997460100000.0,1770009900000.0,1932541300000.0,632522400000.0,1865973100000.0,2166951900000.0
2076.0,2170497000000.0,1656816900000.0,2629890000000.0,1662207800000.0,1832715800000.0,1992860400000.0,1740973700000.0,1911533900000.0,617766800000.0,1850417100000.0,2165976500000.0
2077.0,2168904400000.0,1646735400000.0,2617953500000.0,1653345700000.0,1818762300000.0,1980388100000.0,1731717000000.0,1895921400000.0,600235600000.0,1841766900000.0,2154546100000.0
2078.0,2178336300000.0,1632890100000.0,2612043000000.0,1635104000000.0,1796263100000.0,1975289900000.0,1728763000000.0,1890599200000.0,589420700000.0,1831857800000.0,2163088600000.0
2079.0,2174400900000.0,1629393100000.0,2613742000000.0,1626652300000.0,1780850200000.0,1964631400000.0,1708087400000.0,1880068800000.0,577853400000.0,1815199500000.0,2172032400000.0
2080.0,2171345800000.0,1623329300000.0,2606584600000.0,1615091600000.0,1760054100000.0,1943012600000.0,1696452800000.0,1858350100000.0,567963750000.0,1799732300000.0,2168795600000.0
2081.0,2176703000000.0,1607264600000.0,2597680300000.0,1612858800000.0,1749443000000.0,1933254700000.0,1688057800000.0,1846129900000.0,553304800000.0,1786184900000.0,2157789000000.0
2082.0,2193405400000.0,1587178000000.0,2580724000000.0,1599802700000.0,1739887200000.0,1929929700000.0,1676701700000.0,1844435900000.0,542315740000.0,1776272700000.0,2158260900000.0
2083.0,2184379600000.0,1575028500000.0,2583952400000.0,1587136600000.0,1734568600000.0,1927893200000.0,1667659200000.0,1827358900000.0,533174880000.0,1766123200000.0,2165998400000.0
2084.0,2178515700000.0,1557508500000.0,2591550300000.0,1578792500000.0,1720780700000.0,1918159800000.0,1654145500000.0,1824959200000.0,520726500000.0,1764035400000.0,2169933500000.0
