time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2090.0,1366881500000.0,1317936700000.0,830052430000.0,765335000000.0,966707450000.0,1257377600000.0,1256861700000.0,1964386700000.0,847965000000.0,1400100900000.0,315623200000.0
2091.0,1344040700000.0,1296940900000.0,813958560000.0,750711540000.0,952514200000.0,1231440000000.0,1241178200000.0,1956780800000.0,829736200000.0,1391581000000.0,308759820000.0
2092.0,1326505000000.0,1279150100000.0,797527300000.0,731153560000.0,935060800000.0,1210144100000.0,1215475500000.0,1943186400000.0,815922000000.0,1388532700000.0,299957900000.0
2093.0,1317470200000.0,1252343000000.0,784984050000.0,713150230000.0,920332660000.0,1181978000000.0,1204077900000.0,1931060000000.0,801955000000.0,1374964200000.0,292734800000.0
2094.0,1302444900000.0,1223396400000.0,773120460000.0,701260400000.0,899394700000.0,1167301300000.0,1191080100000.0,1927639500000.0,784241900000.0,1364318900000.0,284744120000.0
2095.0,1286551400000.0,1207390300000.0,758752700000.0,691997000000.0,882039200000.0,1156408400000.0,1169224100000.0,1921305800000.0,769680340000.0,1359283700000.0,276582370000.0
2096.0,1276999600000.0,1191871100000.0,747065100000.0,680555100000.0,865702200000.0,1154628000000.0,1148105400000.0,1902968000000.0,757306900000.0,1351432100000.0,270107310000.0
2097.0,1264408300000.0,1169507900000.0,740173100000.0,673100400000.0,859783300000.0,1141109400000.0,1133065000000.0,1898983200000.0,745683940000.0,1341127100000.0,263950270000.0
2098.0,1252777500000.0,1154883900000.0,729302240000.0,656444360000.0,843036300000.0,1127719800000.0,1123225400000.0,1894649800000.0,730194700000.0,1326932400000.0,256554630000.0
2099.0,1241103100000.0,1139996200000.0,714907100000.0,647140700000.0,829351260000.0,1113091500000.0,1107107500000.0,1886954700000.0,711581040000.0,1309566700000.0,250040470000.0
2100.0,1233596800000.0,1125524600000.0,704296700000.0,631877000000.0,817383000000.0,1100294500000.0,1091163800000.0,1876049900000.0,702011200000.0,1303856400000.0,241347360000.0
