time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2125.0,2417812300000.0,2979046400000.0,2928466200000.0,2735343100000.0,2089858400000.0,2059750100000.0
2126.0,2418159000000.0,2962693300000.0,2904255000000.0,2736403000000.0,2085192200000.0,2048658900000.0
2127.0,2402983000000.0,2946832800000.0,2927168600000.0,2739137200000.0,2077599700000.0,2033161700000.0
2128.0,2409397700000.0,2945180000000.0,2933024400000.0,2743533000000.0,2068489300000.0,2016656000000.0
2129.0,2408005500000.0,2944079000000.0,2928675400000.0,2723424500000.0,2060842000000.0,2017200400000.0
2130.0,2409966000000.0,2951665000000.0,2922306000000.0,2720500800000.0,2047273100000.0,2014338400000.0
2131.0,2395279500000.0,2955589000000.0,2922441300000.0,2714192800000.0,2041963100000.0,2009965900000.0
2132.0,2397352800000.0,2949387600000.0,2921553700000.0,2695094600000.0,2029575900000.0,2003127200000.0
2133.0,2404509800000.0,2949961000000.0,2897305100000.0,2682743400000.0,2026135000000.0,1986281600000.0
2134.0,2401636000000.0,2931291300000.0,2883559600000.0,2680071000000.0,2016966900000.0,1975311100000.0
2135.0,2395425700000.0,2932109500000.0,2883029000000.0,2680426000000.0,2005072300000.0,1974294700000.0
2136.0,2386522500000.0,2931691400000.0,2897546800000.0,2674374500000.0,2003652400000.0,1958560400000.0
2137.0,2385620000000.0,2918297000000.0,2901231800000.0,2670581000000.0,1997079000000.0,1948206200000.0
2138.0,2373547700000.0,2906551200000.0,2885055700000.0,2663901300000.0,1990238300000.0,1944976000000.0
2139.0,2368313500000.0,2897404800000.0,2893066500000.0,2655234600000.0,1989679400000.0,1945426900000.0
2140.0,2359585700000.0,2901973100000.0,2893068000000.0,2650405000000.0,1981342500000.0,1932619800000.0
2141.0,2352033300000.0,2895828000000.0,2889714200000.0,2639610000000.0,1972162100000.0,1933760900000.0
2142.0,2352300400000.0,2880252000000.0,2879303700000.0,2640288700000.0,1965628700000.0,1929410500000.0
2143.0,2357585800000.0,2874462000000.0,2867992000000.0,2634913700000.0,1957041000000.0,1919537900000.0
2144.0,2350773400000.0,2865349500000.0,2857511700000.0,2626649000000.0,1945470200000.0,1908191100000.0
2145.0,2354331800000.0,2867059500000.0,2859299200000.0,2636001300000.0,1942390700000.0,1896978800000.0
2146.0,2348368000000.0,2859776600000.0,2859399400000.0,2635353300000.0,1942953900000.0,1888837200000.0
2147.0,2345149700000.0,2873549000000.0,2864187000000.0,2626849300000.0,1936798000000.0,1893133600000.0
