time,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M
2075.0,19771964000000.0,23548368000000.0,20970470000000.0,22376499000000.0,21929370000000.0,23401810000000.0,20632067000000.0,23376823000000.0,22432407000000.0,21578872000000.0
2076.0,19591697000000.0,23396266000000.0,20859354000000.0,22247538000000.0,21727493000000.0,23266727000000.0,20477951000000.0,23244445000000.0,22288070000000.0,21390648000000.0
2077.0,19419114000000.0,23341960000000.0,20667915000000.0,22042454000000.0,21625198000000.0,23135678000000.0,20310118000000.0,23158308000000.0,22116448000000.0,21202607000000.0
2078.0,19208330000000.0,23259653000000.0,20494480000000.0,21875147000000.0,21400920000000.0,23088341000000.0,20140884000000.0,22996001000000.0,22009898000000.0,21094686000000.0
2079.0,18992998000000.0,23160643000000.0,20283113000000.0,21690317000000.0,21241052000000.0,22909544000000.0,19886328000000.0,22965658000000.0,21858846000000.0,20904252000000.0
2080.0,18754490000000.0,22978266000000.0,20080862000000.0,21467484000000.0,21021787000000.0,22755326000000.0,19720542000000.0,22864344000000.0,21697370000000.0,20730067000000.0
2081.0,18552485000000.0,22914087000000.0,19897675000000.0,21354720000000.0,20961972000000.0,22679023000000.0,19590323000000.0,22776878000000.0,21558691000000.0,20597956000000.0
2082.0,18326695000000.0,22830836000000.0,19664833000000.0,21160868000000.0,20893273000000.0,22568352000000.0,19412470000000.0,22662793000000.0,21429834000000.0,20413780000000.0
2083.0,18133444000000.0,22788618000000.0,19456370000000.0,21046581000000.0,20784095000000.0,22461836000000.0,19295354000000.0,22600615000000.0,21280544000000.0,20277742000000.0
2084.0,17908636000000.0,22705787000000.0,19257941000000.0,20983952000000.0,20631995000000.0,22247796000000.0,19153360000000.0,22562292000000.0,21127219000000.0,20091341000000.0
2085.0,17643967000000.0,22584125000000.0,19095905000000.0,20843264000000.0,20349030000000.0,22077120000000.0,18976243000000.0,22474335000000.0,20903845000000.0,19971292000000.0
2086.0,17489401000000.0,22492150000000.0,18854474000000.0,20767150000000.0,20127299000000.0,21946444000000.0,18746104000000.0,22421870000000.0,20776160000000.0,19809511000000.0
2087.0,17352511000000.0,22331729000000.0,18701376000000.0,20752722000000.0,20055080000000.0,21828133000000.0,18519045000000.0,22346760000000.0,20629390000000.0,19679492000000.0
2088.0,17135650000000.0,22172423000000.0,18581125000000.0,20654173000000.0,19979466000000.0,21748353000000.0,18363598000000.0,22242382000000.0,20433740000000.0,19478409000000.0
2089.0,16923751000000.0,22009830000000.0,18337103000000.0,20593433000000.0,19829371000000.0,21632290000000.0,18227789000000.0,22126774000000.0,20266860000000.0,19275979000000.0
2090.0,16673589000000.0,21818847000000.0,18167800000000.0,20403687000000.0,19675245000000.0,21440936000000.0,18040868000000.0,22035655000000.0,20107447000000.0,19106451000000.0
2091.0,16453692000000.0,21568713000000.0,17941120000000.0,20293867000000.0,19547711000000.0,21165250000000.0,17794870000000.0,21930634000000.0,19993700000000.0,18919532000000.0
2092.0,16254545000000.0,21428169000000.0,17769339000000.0,20164515000000.0,19300805000000.0,20987469000000.0,17589645000000.0,21852083000000.0,19826395000000.0,18723759000000.0
2093.0,16067733000000.0,21331022000000.0,17519436000000.0,19972904000000.0,19136552000000.0,20827500000000.0,17459385000000.0,21696120000000.0,19706575000000.0,18534631000000.0
2094.0,15802039000000.0,21184320000000.0,17306406000000.0,19734670000000.0,18846413000000.0,20610734000000.0,17229580000000.0,21590786000000.0,19570539000000.0,18357835000000.0
2095.0,15519127000000.0,21035961000000.0,17075133000000.0,19525850000000.0,18553231000000.0,20526578000000.0,17005314000000.0,21490500000000.0,19347897000000.0,18165243000000.0
2096.0,15244936000000.0,20865417000000.0,16876155000000.0,19366940000000.0,18414148000000.0,20356203000000.0,16782637000000.0,21385938000000.0,19140759000000.0,17977240000000.0
2097.0,14951835000000.0,20783705000000.0,16726011000000.0,19294670000000.0,18246198000000.0,20196276000000.0,16538702000000.0,21271759000000.0,18999330000000.0,17810548000000.0
2098.0,14697375000000.0,20650444000000.0,16509497000000.0,19138210000000.0,17996173000000.0,20063770000000.0,16479999000000.0,21158198000000.0,18863297000000.0,17579001000000.0
2099.0,14402679000000.0,20447870000000.0,16303092000000.0,19047874000000.0,17712932000000.0,19986756000000.0,16345055000000.0,21047296000000.0,18695473000000.0,17417645000000.0
2100.0,14078649000000.0,20302967000000.0,16166128000000.0,18841569000000.0,17567506000000.0,19826074000000.0,16185004000000.0,20928692000000.0,18541546000000.0,17226957000000.0
