time,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,MRI-ESM2-0
2242.0,4062702700000.0,1239241700000.0,8297239300000.0,6685108700000.0
2243.0,4051830600000.0,1231409000000.0,8299291300000.0,6686162000000.0
2244.0,4032489600000.0,1224012100000.0,8270413600000.0,6690913000000.0
2245.0,4021340600000.0,1209437900000.0,8246676000000.0,6701281000000.0
2246.0,4013125300000.0,1197975400000.0,8248833300000.0,6708862600000.0
2247.0,4002203800000.0,1190673600000.0,8233695000000.0,6715384300000.0
2248.0,3985342200000.0,1185542800000.0,8209375400000.0,6720103400000.0
2249.0,3964479200000.0,1175093200000.0,8176621000000.0,6722940300000.0
2250.0,3947373500000.0,1169126300000.0,8150148700000.0,6736477400000.0
2251.0,3944075500000.0,1160661000000.0,8151685400000.0,6746877000000.0
2252.0,3931665300000.0,1155336600000.0,8123883000000.0,6755217600000.0
2253.0,3919480600000.0,1146886000000.0,8102066000000.0,6766245000000.0
2254.0,3902204000000.0,1136135000000.0,8088398600000.0,6779023400000.0
2255.0,3890818300000.0,1129491000000.0,8079409000000.0,6783105500000.0
2256.0,3875758100000.0,1124278200000.0,8070995000000.0,6788908300000.0
2257.0,3862632900000.0,1116576000000.0,8044227300000.0,6801958000000.0
2258.0,3848665600000.0,1107718000000.0,8015048600000.0,6813379000000.0
2259.0,3833840500000.0,1100754200000.0,7990977000000.0,6821193400000.0
2260.0,3818787200000.0,1094577600000.0,7964707500000.0,6829112000000.0
2261.0,3805313000000.0,1090538200000.0,7916974000000.0,6834469000000.0
2262.0,3792478000000.0,1081890050000.0,7893514500000.0,6846888300000.0
2263.0,3785537400000.0,1072763300000.0,7868299000000.0,6849209000000.0
2264.0,3770314000000.0,1064770600000.0,7853693000000.0,6860724000000.0
2265.0,3750334600000.0,1057414840000.0,7825894000000.0,6868742700000.0
2266.0,3739186400000.0,1052980150000.0,7807990000000.0,6871437000000.0
2267.0,3727282400000.0,1043893850000.0,7786649400000.0,6885321000000.0
2268.0,3714433200000.0,1035226050000.0,7762411500000.0,6880018600000.0
2269.0,3701788400000.0,1027202800000.0,7731028000000.0,6886052600000.0
2270.0,3686360000000.0,1020173200000.0,7709661000000.0,6880928700000.0
2271.0,3673115000000.0,1012220950000.0,7686101000000.0,6889226600000.0
2272.0,3662231000000.0,1001647200000.0,7659572400000.0,6891221000000.0
2273.0,3648395100000.0,989718500000.0,7652184000000.0,6892813000000.0
2274.0,3635274300000.0,982023600000.0,7628729000000.0,6894024000000.0
2275.0,3621287000000.0,973132500000.0,7597984000000.0,6898277400000.0
2276.0,3611855000000.0,966799400000.0,7583058000000.0,6899366400000.0
2277.0,3600476000000.0,957412540000.0,7559234700000.0,6906797000000.0
2278.0,3593092200000.0,945895960000.0,7547052400000.0,6909383000000.0
2279.0,3575447800000.0,934012000000.0,7542072000000.0,6912200000000.0
2280.0,3560618600000.0,925983440000.0,7539200000000.0,6912496600000.0
2281.0,3551368000000.0,917413700000.0,7527694000000.0,6908872000000.0
2282.0,3546038400000.0,906847800000.0,7511562000000.0,6916962500000.0
2283.0,3531221800000.0,895823050000.0,7497938000000.0,6918971600000.0
2284.0,3520098000000.0,889154900000.0,7470986000000.0,6923399700000.0
2285.0,3514871300000.0,883386400000.0,7442377000000.0,6925290000000.0
