time,INM-CM4-8,INM-CM5-0,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L
2068.0,3463412400000.0,3647241700000.0,3245698700000.0,3238411000000.0,3465214700000.0,2948127800000.0,3586324700000.0,3475819500000.0,3592617200000.0,3579911900000.0,3592998400000.0,2998719000000.0,3116746100000.0,3032902300000.0
2069.0,3443710200000.0,3628887000000.0,3214366200000.0,3189995500000.0,3459242000000.0,2911667700000.0,3562167900000.0,3477327000000.0,3573040800000.0,3552433700000.0,3576776000000.0,2979488300000.0,3083365800000.0,3013010500000.0
2070.0,3420330000000.0,3607527200000.0,3192126000000.0,3159484500000.0,3438101100000.0,2894920400000.0,3539833500000.0,3429080800000.0,3546344300000.0,3530471200000.0,3547725300000.0,2956582700000.0,3056826800000.0,2981222000000.0
2071.0,3405559000000.0,3579061200000.0,3165977000000.0,3136937800000.0,3407303400000.0,2868103300000.0,3498967600000.0,3407910300000.0,3544985600000.0,3508352300000.0,3520357000000.0,2927287600000.0,3045961800000.0,2964360800000.0
2072.0,3385201500000.0,3566850000000.0,3138324500000.0,3111846000000.0,3396457500000.0,2828478700000.0,3476681400000.0,3389060800000.0,3509678500000.0,3502720400000.0,3490479900000.0,2913148300000.0,3034535200000.0,2954434200000.0
2073.0,3365055800000.0,3544358600000.0,3109640700000.0,3092810800000.0,3359349700000.0,2803670000000.0,3457476700000.0,3343136000000.0,3476526200000.0,3478010700000.0,3466801000000.0,2879395500000.0,3009349700000.0,2939202600000.0
2074.0,3341755400000.0,3530415100000.0,3072783500000.0,3068751800000.0,3352705600000.0,2777341800000.0,3439938000000.0,3301338000000.0,3452248800000.0,3467112000000.0,3449118000000.0,2863607800000.0,2981482500000.0,2911557400000.0
2075.0,3320564000000.0,3520865500000.0,3018240800000.0,3035984800000.0,3342011700000.0,2727504800000.0,3416176200000.0,3287741600000.0,3425837300000.0,3455649600000.0,3421145000000.0,2824631500000.0,2945173000000.0,2903127000000.0
2076.0,3299964000000.0,3503629000000.0,2997214000000.0,3004875400000.0,3323943200000.0,2683007000000.0,3399267600000.0,3270125600000.0,3403407400000.0,3424179700000.0,3371714200000.0,2782370700000.0,2926840000000.0,2882774500000.0
2077.0,3275881400000.0,3487622200000.0,2968775300000.0,2984819600000.0,3303754000000.0,2656862200000.0,3378251000000.0,3245762000000.0,3388629300000.0,3399926400000.0,3329165400000.0,2740639000000.0,2912482800000.0,2862429500000.0
2078.0,3266434300000.0,3464462900000.0,2926345500000.0,2965294500000.0,3292302700000.0,2644785500000.0,3361409900000.0,3214568300000.0,3381646600000.0,3363639700000.0,3303671900000.0,2704784000000.0,2893077300000.0,2836406700000.0
2079.0,3256010400000.0,3438705400000.0,2907780000000.0,2937379000000.0,3276613000000.0,2613976200000.0,3335460700000.0,3187107700000.0,3350691300000.0,3342086700000.0,3292732900000.0,2669815500000.0,2873066300000.0,2812626900000.0
2080.0,3248837600000.0,3420091300000.0,2884465900000.0,2911000900000.0,3260900000000.0,2567722000000.0,3327585200000.0,3167590000000.0,3333702500000.0,3333721200000.0,3265132000000.0,2656984600000.0,2853075200000.0,2780237000000.0
2081.0,3243607300000.0,3400638000000.0,2858925000000.0,2878478000000.0,3248768700000.0,2527746900000.0,3272945700000.0,3122528800000.0,3313512700000.0,3320792500000.0,3234131000000.0,2622114500000.0,2826913000000.0,2757886200000.0
2082.0,3219637000000.0,3389053700000.0,2829134300000.0,2854094600000.0,3234921000000.0,2489823800000.0,3229667000000.0,3123116200000.0,3279878000000.0,3293925000000.0,3197284000000.0,2596198000000.0,2806954900000.0,2733095500000.0
2083.0,3216442400000.0,3367108300000.0,2810324700000.0,2823370800000.0,3214597000000.0,2463633200000.0,3201183800000.0,3110465700000.0,3272090300000.0,3268197700000.0,3171458200000.0,2562835300000.0,2785626000000.0,2684407300000.0
2084.0,3204471300000.0,3336194800000.0,2787688800000.0,2788926200000.0,3211019700000.0,2430529000000.0,3190945200000.0,3093918000000.0,3256562700000.0,3247895000000.0,3156480000000.0,2523206300000.0,2776992800000.0,2661134600000.0
2085.0,3187022500000.0,3312289300000.0,2776866000000.0,2760516000000.0,3197691800000.0,2397590300000.0,3168667400000.0,3059306200000.0,3247949000000.0,3248472200000.0,3131531600000.0,2488719600000.0,2760329400000.0,2647594400000.0
2086.0,3152934600000.0,3301730000000.0,2756038400000.0,2736549000000.0,3191895200000.0,2358089400000.0,3163348300000.0,3034715300000.0,3233994200000.0,3233996900000.0,3101730800000.0,2460015100000.0,2758989000000.0,2625027000000.0
2087.0,3135903600000.0,3281902000000.0,2735048800000.0,2708912000000.0,3186558000000.0,2320695600000.0,3156251500000.0,3004443100000.0,3227058000000.0,3208207000000.0,3069046700000.0,2425543200000.0,2739146900000.0,2613630000000.0
2088.0,3133856000000.0,3247626500000.0,2726440500000.0,2683543700000.0,3164377700000.0,2294967700000.0,3133431600000.0,2983379900000.0,3211016800000.0,3192241000000.0,3038780000000.0,2392284700000.0,2711147000000.0,2596370600000.0
2089.0,3119268800000.0,3224114800000.0,2712440400000.0,2665956200000.0,3145756600000.0,2268179700000.0,3128538200000.0,2969656000000.0,3190180500000.0,3175965300000.0,3027694300000.0,2367176000000.0,2697298700000.0,2578714000000.0
