time,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5,GISS-E2-R,CANESM2,IPSL-CM5A-LR,GFDL-CM3,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CCSM4
2070.0,3356514800000.0,3331304200000.0,3363551000000.0,3712579000000.0,3129604000000.0,3692729700000.0,3854743000000.0,4056101200000.0,3674536000000.0,3598761300000.0,3689166700000.0
2071.0,3325031000000.0,3314679800000.0,3346563000000.0,3710299000000.0,3119804800000.0,3673933200000.0,3836392800000.0,4049036400000.0,3640996100000.0,3582294800000.0,3675475700000.0
2072.0,3312556200000.0,3304267200000.0,3329137600000.0,3680905500000.0,3108041000000.0,3654232300000.0,3821641000000.0,4071657000000.0,3631291800000.0,3571833000000.0,3651221600000.0
2073.0,3288489800000.0,3296101000000.0,3324323600000.0,3683903900000.0,3080800700000.0,3647087300000.0,3797997600000.0,4082957800000.0,3619336700000.0,3562396700000.0,3636221700000.0
2074.0,3275567400000.0,3278951400000.0,3298112600000.0,3680163000000.0,3053350000000.0,3633695000000.0,3788869700000.0,4076338400000.0,3613751000000.0,3554078400000.0,3639012200000.0
2075.0,3237739800000.0,3254278000000.0,3271737700000.0,3669822000000.0,3051387000000.0,3628617000000.0,3764373000000.0,4060323800000.0,3590375900000.0,3539770300000.0,3636881500000.0
2076.0,3224345800000.0,3234408400000.0,3233559000000.0,3660796000000.0,3042663200000.0,3632523400000.0,3761245500000.0,4062171000000.0,3587721700000.0,3514490400000.0,3612700300000.0
2077.0,3212146400000.0,3204947400000.0,3220137600000.0,3651409000000.0,3022467000000.0,3623234000000.0,3737457800000.0,4077635200000.0,3584897300000.0,3509705500000.0,3600077000000.0
2078.0,3203486400000.0,3184747600000.0,3203195700000.0,3646264700000.0,3004873000000.0,3591292600000.0,3728393400000.0,4074986000000.0,3582282700000.0,3509517000000.0,3568193800000.0
2079.0,3202168700000.0,3145349000000.0,3174703800000.0,3623125500000.0,3005715000000.0,3583204400000.0,3708895600000.0,4070900200000.0,3581750500000.0,3496354300000.0,3536356000000.0
2080.0,3177683000000.0,3133499800000.0,3124236000000.0,3626580300000.0,2987032600000.0,3574030700000.0,3705269000000.0,4072525800000.0,3575308400000.0,3470817500000.0,3531757800000.0
2081.0,3168437000000.0,3136524400000.0,3111720300000.0,3611147600000.0,2978436600000.0,3559922300000.0,3702610700000.0,4057625800000.0,3569656000000.0,3439189600000.0,3531198700000.0
2082.0,3166289300000.0,3116866700000.0,3100735400000.0,3617637500000.0,2972492200000.0,3536608800000.0,3680136900000.0,4043060300000.0,3559897000000.0,3419756600000.0,3518772500000.0
2083.0,3153698200000.0,3083834000000.0,3082803000000.0,3605233100000.0,2950340800000.0,3505679800000.0,3664825800000.0,4036485400000.0,3556380200000.0,3396084700000.0,3497240300000.0
2084.0,3132781000000.0,3081229000000.0,3046774000000.0,3584139700000.0,2930157300000.0,3498933200000.0,3644217000000.0,4016050500000.0,3530021400000.0,3382092000000.0,3488851200000.0
2085.0,3124547300000.0,3074386800000.0,3041892800000.0,3581585000000.0,2910163800000.0,3490167700000.0,3626230300000.0,4008449000000.0,3519473000000.0,3383448300000.0,3487078000000.0
2086.0,3091088000000.0,3052440400000.0,3026668000000.0,3572929400000.0,2892726300000.0,3467950200000.0,3597556300000.0,4004289000000.0,3519512800000.0,3373718600000.0,3480462300000.0
2087.0,3052450300000.0,3029381400000.0,3010227600000.0,3561306700000.0,2885725500000.0,3447641000000.0,3581773000000.0,4002243100000.0,3521442200000.0,3357986300000.0,3491460300000.0
2088.0,3030786800000.0,3016125600000.0,2969399500000.0,3556622500000.0,2879758800000.0,3426350500000.0,3562948300000.0,4003954000000.0,3517623600000.0,3343167000000.0,3494475500000.0
2089.0,3023633400000.0,3001450200000.0,2947663500000.0,3562830000000.0,2874614700000.0,3427793600000.0,3539749600000.0,4019219000000.0,3503591800000.0,3338244000000.0,3481010000000.0
2090.0,3013250600000.0,3000535600000.0,2929641400000.0,3563964600000.0,2847631700000.0,3411845800000.0,3510342300000.0,4015481000000.0,3505412400000.0,3330730600000.0,3483017000000.0
2091.0,2989771200000.0,2986906700000.0,2912988400000.0,3548969000000.0,2844073100000.0,3411806300000.0,3479165000000.0,4025956700000.0,3493964800000.0,3319975000000.0,3475558400000.0
2092.0,2972503200000.0,2973228000000.0,2881659600000.0,3554765400000.0,2840362200000.0,3395335500000.0,3452114000000.0,4005823300000.0,3495725000000.0,3332259400000.0,3454858000000.0
2093.0,2964072700000.0,2969091700000.0,2874881300000.0,3538056400000.0,2839452300000.0,3359688400000.0,3428639300000.0,3998775800000.0,3489791200000.0,3324008700000.0,3429898600000.0
2094.0,2961826400000.0,2956521000000.0,2855952200000.0,3530275400000.0,2824582500000.0,3346896500000.0,3399059500000.0,4002356000000.0,3483144000000.0,3325881000000.0,3421706400000.0
2095.0,2944947000000.0,2941152700000.0,2841928500000.0,3519166500000.0,2805880000000.0,3343018000000.0,3397525200000.0,4011997300000.0,3475168600000.0,3306655600000.0,3406965800000.0
2096.0,2923735000000.0,2933261900000.0,2837030400000.0,3508826800000.0,2793568700000.0,3349574800000.0,3380229000000.0,4011446200000.0,3480526000000.0,3305030000000.0,3392906000000.0
2097.0,2904070600000.0,2916650600000.0,2822255000000.0,3502635000000.0,2780781000000.0,3357704200000.0,3362920600000.0,3993118000000.0,3464311600000.0,3298092600000.0,3395360400000.0
2098.0,2893848200000.0,2899361700000.0,2805565800000.0,3497435300000.0,2763065700000.0,3343042200000.0,3342687500000.0,4009071200000.0,3463933000000.0,3279127300000.0,3404514000000.0
2099.0,2881832600000.0,2894116400000.0,2789861800000.0,3493515500000.0,2756944000000.0,3333484400000.0,3317050000000.0,4003603200000.0,3459078200000.0,3260820500000.0,3385842500000.0
2100.0,2864825200000.0,2865692700000.0,2783038100000.0,3492921700000.0,2748750000000.0,3335137500000.0,3295433200000.0,3988458600000.0,3450299700000.0,3254826000000.0,3376668500000.0
