time,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4,ACCESS-ESM1-5,CANESM5,EC-EARTH3-VEG,MRI-ESM2-0,IPSL-CM6A-LR,CESM2,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,ACCESS-CM2,INM-CM4-8,INM-CM5-0,NORESM2-MM,EC-EARTH3
2066.0,6184997000000.0,6239872000000.0,6341244000000.0,6380517300000.0,2846597800000.0,5244912000000.0,4740774600000.0,5448504700000.0,5576886600000.0,6200362000000.0,6233111700000.0,6126135000000.0,5193500500000.0,6463026000000.0,6062335000000.0,6311312000000.0,4572494000000.0
2067.0,6167097500000.0,6207910000000.0,6309790400000.0,6324512400000.0,2773609300000.0,5202615700000.0,4655437000000.0,5418245400000.0,5548872300000.0,6169517600000.0,6203650000000.0,6110334400000.0,5138536700000.0,6438860000000.0,6036286000000.0,6284859400000.0,4513939000000.0
2068.0,6149630300000.0,6174554000000.0,6291700300000.0,6265349600000.0,2694263300000.0,5116767000000.0,4580545000000.0,5368515700000.0,5506326000000.0,6122169700000.0,6200974000000.0,6074596000000.0,5097785000000.0,6430337000000.0,6001535000000.0,6273204000000.0,4456401300000.0
2069.0,6115542700000.0,6133127000000.0,6274344000000.0,6204169000000.0,2610272000000.0,5037828300000.0,4505346000000.0,5342360500000.0,5454688000000.0,6089099700000.0,6174706000000.0,6053715500000.0,5025137000000.0,6395452700000.0,5952714000000.0,6254039000000.0,4394478500000.0
2070.0,6083070400000.0,6105752000000.0,6240095700000.0,6125930000000.0,2529781000000.0,4959732000000.0,4419941300000.0,5289536000000.0,5411767000000.0,6061212000000.0,6159195400000.0,6039647300000.0,4984569000000.0,6367134400000.0,5921936000000.0,6231570000000.0,4318029000000.0
2071.0,6053570000000.0,6091104600000.0,6216760000000.0,6072560500000.0,2458117700000.0,4893430000000.0,4329891400000.0,5247908000000.0,5360208000000.0,6036279300000.0,6132716000000.0,6020966000000.0,4921959600000.0,6351405000000.0,5904935700000.0,6218648000000.0,4242413000000.0
2072.0,6032851000000.0,6062149700000.0,6212018000000.0,5996513600000.0,2383818300000.0,4819605000000.0,4267034300000.0,5183173000000.0,5328958000000.0,6019036000000.0,6113380500000.0,6001052400000.0,4865029300000.0,6337186500000.0,5885634000000.0,6196993500000.0,4146264500000.0
2073.0,6003452500000.0,6015683700000.0,6196082000000.0,5930933000000.0,2305623900000.0,4752891400000.0,4175817000000.0,5131937000000.0,5272748700000.0,6000150000000.0,6081313000000.0,5971872000000.0,4808065400000.0,6306741000000.0,5865025000000.0,6178568000000.0,4088093500000.0
2074.0,5980146400000.0,5968771400000.0,6184158400000.0,5877048000000.0,2250959000000.0,4686339000000.0,4116355000000.0,5098708000000.0,5226799600000.0,5976909000000.0,6048549700000.0,5949031400000.0,4788654700000.0,6285829300000.0,5830549700000.0,6168355000000.0,4023521600000.0
2075.0,5959587500000.0,5939634000000.0,6174100000000.0,5806878600000.0,2186969100000.0,4631855400000.0,4067310700000.0,5052379400000.0,5174387500000.0,5928654500000.0,6031844000000.0,5921887000000.0,4734509000000.0,6243348000000.0,5783692500000.0,6123353500000.0,3938930700000.0
2076.0,5941370600000.0,5902267600000.0,6151255000000.0,5745177300000.0,2127009300000.0,4549115000000.0,4007407000000.0,5015690000000.0,5137366000000.0,5903999000000.0,6015514300000.0,5901219500000.0,4688266000000.0,6220522000000.0,5740474400000.0,6095917000000.0,3868528200000.0
2077.0,5947057500000.0,5882742600000.0,6125618000000.0,5694814000000.0,2063191200000.0,4464102600000.0,3951817700000.0,4955836500000.0,5081668000000.0,5862752000000.0,5988384500000.0,5876891000000.0,4646024000000.0,6208811400000.0,5707662400000.0,6077100000000.0,3798983500000.0
2078.0,5914102300000.0,5836632500000.0,6109330400000.0,5641543400000.0,1992703200000.0,4387630200000.0,3904305600000.0,4922942700000.0,5050226700000.0,5830212000000.0,5946663000000.0,5858642600000.0,4595009000000.0,6180522400000.0,5675304000000.0,6060440600000.0,3741731500000.0
2079.0,5886237000000.0,5814516400000.0,6087570400000.0,5586258000000.0,1927003200000.0,4315699200000.0,3831618900000.0,4876334500000.0,5000230600000.0,5795239000000.0,5904900000000.0,5832055000000.0,4546709000000.0,6145802500000.0,5651144600000.0,6040107600000.0,3674197200000.0
2080.0,5842333000000.0,5787893600000.0,6073324000000.0,5542366400000.0,1865513800000.0,4211643500000.0,3775290400000.0,4823007600000.0,4968434600000.0,5781913000000.0,5881033000000.0,5821126700000.0,4500389600000.0,6140682300000.0,5629063700000.0,5991404400000.0,3621436300000.0
2081.0,5820552600000.0,5753208300000.0,6054233000000.0,5481612000000.0,1813401200000.0,4139585000000.0,3729430400000.0,4783997500000.0,4929716000000.0,5763742000000.0,5863081000000.0,5808595700000.0,4443666400000.0,6118338000000.0,5608426700000.0,5965010700000.0,3567999300000.0
2082.0,5803076000000.0,5727631000000.0,6007831000000.0,5421591000000.0,1758998600000.0,4035617500000.0,3683813400000.0,4738614600000.0,4905396300000.0,5730362500000.0,5844909000000.0,5775455400000.0,4407326400000.0,6099882000000.0,5569445000000.0,5948335000000.0,3507396800000.0
2083.0,5786213300000.0,5683295000000.0,5979673000000.0,5383019000000.0,1705812700000.0,3962289000000.0,3642710000000.0,4706153000000.0,4876590400000.0,5682806400000.0,5827290700000.0,5754919600000.0,4370313000000.0,6100523000000.0,5546977000000.0,5932812600000.0,3465589300000.0
2084.0,5773921000000.0,5656262000000.0,5948828500000.0,5351644600000.0,1657452000000.0,3878803200000.0,3602873300000.0,4666419600000.0,4843003000000.0,5651447700000.0,5810189500000.0,5736075000000.0,4318295000000.0,6068196300000.0,5502629600000.0,5893595000000.0,3417865700000.0
2085.0,5757249500000.0,5609307000000.0,5920194600000.0,5320849500000.0,1613259500000.0,3809787200000.0,3567096200000.0,4630200000000.0,4810550500000.0,5613036000000.0,5784804500000.0,5687170600000.0,4262278000000.0,6030265000000.0,5478214500000.0,5858579700000.0,3377980200000.0
2086.0,5719945400000.0,5575773000000.0,5894511300000.0,5277884600000.0,1562918000000.0,3706965200000.0,3529026300000.0,4597147500000.0,4781299000000.0,5591234000000.0,5751042000000.0,5691697300000.0,4171084300000.0,6020842700000.0,5439429000000.0,5821358000000.0,3342986600000.0
2087.0,5686374700000.0,5539364000000.0,5873689000000.0,5253364700000.0,1515667600000.0,3610849300000.0,3470839800000.0,4550381500000.0,4733786000000.0,5559497000000.0,5716475600000.0,5650358000000.0,4118972200000.0,6000197000000.0,5414901000000.0,5784192000000.0,3304973100000.0
2088.0,5656050400000.0,5512533400000.0,5846270000000.0,5221742300000.0,1477377400000.0,3533711900000.0,3429866700000.0,4513087400000.0,4703697000000.0,5530037000000.0,5698754700000.0,5622278000000.0,4069356200000.0,5991370000000.0,5391609500000.0,5764099000000.0,3265965300000.0
2089.0,5621547000000.0,5480285000000.0,5827328500000.0,5196025000000.0,1440334500000.0,3454329200000.0,3386393000000.0,4474217000000.0,4671671400000.0,5508285000000.0,5672357300000.0,5609398000000.0,4031889300000.0,5979308600000.0,5379631000000.0,5743530500000.0,3219835300000.0
2090.0,5597577000000.0,5454061000000.0,5810280000000.0,5155741000000.0,1404164100000.0,3370313600000.0,3356713000000.0,4446112700000.0,4627266300000.0,5473357000000.0,5648197000000.0,5580434400000.0,3975868800000.0,5963317000000.0,5349502000000.0,5714336500000.0,3175469800000.0
2091.0,5579193500000.0,5416746500000.0,5779922400000.0,5133113500000.0,1364065900000.0,3292773200000.0,3312942600000.0,4414882000000.0,4591079000000.0,5448382500000.0,5622571000000.0,5579698000000.0,3920378500000.0,5942819700000.0,5345237300000.0,5673906000000.0,3134202800000.0
2092.0,5562465000000.0,5348445000000.0,5754645400000.0,5104748000000.0,1327991200000.0,3222196700000.0,3288311500000.0,4378984200000.0,4536331700000.0,5421685300000.0,5610577300000.0,5555668000000.0,3862399300000.0,5917678500000.0,5318174000000.0,5649739500000.0,3104418000000.0
2093.0,5547161000000.0,5319112000000.0,5739235000000.0,5082070000000.0,1288553400000.0,3146898000000.0,3261585700000.0,4334397700000.0,4481224000000.0,5387069000000.0,5607929700000.0,5539598700000.0,3774951500000.0,5909857000000.0,5310817000000.0,5617091000000.0,3081081700000.0
2094.0,5528340700000.0,5265228300000.0,5713408600000.0,5045107000000.0,1246158500000.0,3065265500000.0,3224672000000.0,4297674200000.0,4423662000000.0,5381198700000.0,5588549400000.0,5517717000000.0,3693490000000.0,5895489000000.0,5292767600000.0,5601869000000.0,3049931700000.0
