time,INM-CM5-0,INM-CM4-8,EC-EARTH3,NORESM2-MM,CMCC-CM2-SR5,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,MRI-ESM2-0,CESM2,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2084.0,5002854000000.0,5615538000000.0,2614340000000.0,5601731500000.0,3407511800000.0,5163660600000.0,4925762300000.0,5387741000000.0,3262234000000.0,4583586300000.0,5317700600000.0,5339637400000.0,5751200300000.0,2415890500000.0
2085.0,4969167000000.0,5570861500000.0,2513828000000.0,5555770000000.0,3296969600000.0,5132056500000.0,4893601000000.0,5321096000000.0,3188161200000.0,4531497000000.0,5285612000000.0,5277619300000.0,5722370000000.0,2297911000000.0
2086.0,4911992000000.0,5541298000000.0,2422753500000.0,5518046300000.0,3198540800000.0,5091109000000.0,4864967400000.0,5298506400000.0,3115136600000.0,4482940300000.0,5236465300000.0,5244760000000.0,5685948000000.0,2187157400000.0
2087.0,4865561500000.0,5491313000000.0,2335320800000.0,5457374000000.0,3094505800000.0,5046612300000.0,4830535000000.0,5255568000000.0,3040689300000.0,4413568600000.0,5205705000000.0,5160822600000.0,5659108000000.0,2096899700000.0
2088.0,4815298000000.0,5457364600000.0,2256482900000.0,5417050000000.0,2999304300000.0,4998344700000.0,4784226600000.0,5223749000000.0,2963249800000.0,4358420600000.0,5178510000000.0,5127110400000.0,5650543000000.0,2002320600000.0
2089.0,4774022000000.0,5423452000000.0,2168158600000.0,5380940000000.0,2904141600000.0,4953746700000.0,4740495700000.0,5175352000000.0,2888574400000.0,4297646700000.0,5153320600000.0,5091162600000.0,5630228700000.0,1914555900000.0
2090.0,4729011700000.0,5385480600000.0,2066914300000.0,5322251000000.0,2798624200000.0,4913191000000.0,4666612500000.0,5134843600000.0,2827398400000.0,4227377000000.0,5112914000000.0,5038852300000.0,5597612000000.0,1828934600000.0
2091.0,4686962000000.0,5353855500000.0,1976314900000.0,5286274300000.0,2718010700000.0,4900469600000.0,4638702000000.0,5119821000000.0,2753109000000.0,4137493700000.0,5071239000000.0,4993325000000.0,5554182300000.0,1749797700000.0
2092.0,4639946000000.0,5330883300000.0,1881908400000.0,5259150000000.0,2627929400000.0,4860318600000.0,4578584000000.0,5064386000000.0,2712049300000.0,4115323700000.0,5035352700000.0,4945770000000.0,5532224600000.0,1673496400000.0
2093.0,4597197300000.0,5297982700000.0,1792218100000.0,5211996300000.0,2520580400000.0,4824641300000.0,4509294700000.0,5044768300000.0,2641624000000.0,4067453300000.0,5014466600000.0,4886588000000.0,5490470300000.0,1600378900000.0
2094.0,4560482500000.0,5274891000000.0,1710456400000.0,5180626000000.0,2416001000000.0,4779998700000.0,4419501000000.0,5017582000000.0,2599635400000.0,4028245000000.0,4972464000000.0,4840748500000.0,5470560000000.0,1526977100000.0
2095.0,4517670000000.0,5201420400000.0,1628094500000.0,5134180400000.0,2321476500000.0,4731592000000.0,4353659800000.0,4956948500000.0,2561399300000.0,3975669000000.0,4916228700000.0,4798282700000.0,5436341000000.0,1465094800000.0
2096.0,4481016000000.0,5161939000000.0,1547713400000.0,5108924000000.0,2221940700000.0,4699376300000.0,4321447500000.0,4906043000000.0,2509220600000.0,3913404000000.0,4886072700000.0,4759273000000.0,5416959000000.0,1401257100000.0
2097.0,4431524400000.0,5130346300000.0,1466000600000.0,5063855600000.0,2126278600000.0,4662075000000.0,4270578200000.0,4876221300000.0,2472815600000.0,3871180000000.0,4862340000000.0,4706136500000.0,5386346000000.0,1337653200000.0
2098.0,4372930500000.0,5097006000000.0,1408036900000.0,5029603300000.0,2031620600000.0,4616003000000.0,4219092300000.0,4844130000000.0,2439493700000.0,3814663000000.0,4846759000000.0,4664818000000.0,5364431000000.0,1265482900000.0
2099.0,4340654300000.0,5052775000000.0,1326348500000.0,4990020600000.0,1945295800000.0,4571950000000.0,4167376800000.0,4797575500000.0,2386658900000.0,3776906500000.0,4818958500000.0,4599631600000.0,5339554000000.0,1191419000000.0
2100.0,4304399500000.0,4998013400000.0,1253808800000.0,4951844600000.0,1859694000000.0,4532147000000.0,4132295100000.0,4768660000000.0,2342676600000.0,3715497500000.0,4790087000000.0,4505876000000.0,5312173000000.0,1120551400000.0
