time,CANESM2,MPI-ESM-LR,CESM1-CAM5
2240.0,1563665500000.0,2904912600000.0,1164288300000.0
2241.0,1570618000000.0,2903622000000.0,1164786300000.0
2242.0,1575693700000.0,2907930000000.0,1164931500000.0
2243.0,1581873400000.0,2903527400000.0,1171047600000.0
2244.0,1585685100000.0,2904378600000.0,1171406600000.0
2245.0,1579718400000.0,2905320200000.0,1162653100000.0
2246.0,1571906900000.0,2909220000000.0,1154656800000.0
2247.0,1576909900000.0,2890010000000.0,1147215800000.0
2248.0,1599624400000.0,2925665000000.0,1147974800000.0
2249.0,1595459200000.0,2950322700000.0,1151650500000.0
2250.0,1601565800000.0,2972059000000.0,1148117000000.0
2251.0,1617318100000.0,2989824000000.0,1154713100000.0
2252.0,1621155300000.0,2985621000000.0,1154314000000.0
2253.0,1614887300000.0,2990221000000.0,1163855700000.0
2254.0,1613995000000.0,3010183600000.0,1174475100000.0
2255.0,1611841100000.0,3014295300000.0,1179550900000.0
2256.0,1621929800000.0,3006054300000.0,1162822000000.0
2257.0,1634709900000.0,3022378000000.0,1165367700000.0
2258.0,1629056500000.0,3028107100000.0,1171217200000.0
2259.0,1626339500000.0,3012657400000.0,1174797500000.0
2260.0,1637050600000.0,3012092800000.0,1183500200000.0
2261.0,1664740500000.0,3012282800000.0,1186039600000.0
2262.0,1680016900000.0,3010020200000.0,1197011900000.0
2263.0,1682180300000.0,3044947300000.0,1192143000000.0
2264.0,1668373400000.0,3057044200000.0,1190642800000.0
2265.0,1668762000000.0,3082536000000.0,1198246300000.0
2266.0,1663315600000.0,3112535900000.0,1200092200000.0
2267.0,1683585100000.0,3109581000000.0,1196708500000.0
2268.0,1669119100000.0,3115521400000.0,1196829700000.0
2269.0,1659358500000.0,3122569000000.0,1208474800000.0
2270.0,1676641200000.0,3119540300000.0,1219426300000.0
2271.0,1677142400000.0,3133137700000.0,1211886500000.0
2272.0,1679510000000.0,3140704800000.0,1210965700000.0
2273.0,1677817700000.0,3118904400000.0,1213889900000.0
2274.0,1678445400000.0,3134411000000.0,1216860800000.0
2275.0,1692836800000.0,3145881000000.0,1216849200000.0
2276.0,1698562800000.0,3144003600000.0,1225281600000.0
2277.0,1693702000000.0,3143434500000.0,1225892600000.0
2278.0,1690653700000.0,3147866600000.0,1227037300000.0
2279.0,1691256600000.0,3140044200000.0,1231952200000.0
2280.0,1703035800000.0,3128921200000.0,1237847100000.0
2281.0,1701061300000.0,3158941400000.0,1233238000000.0
2282.0,1695824500000.0,3165318500000.0,1244585500000.0
2283.0,1705500200000.0,3171675300000.0,1233123400000.0
2284.0,1717170300000.0,3193111600000.0,1241837600000.0
2285.0,1725231700000.0,3208111200000.0,1249219000000.0
2286.0,1727666300000.0,3211489400000.0,1257067900000.0
